# cohort chain n_train frac_receptors heldout_auc I_heldout top1_excess frac
tcrvdb_true A 14 0.1167 0.9000 0.4600 0.7333 0.150
tcrvdb_true A 28 0.2333 0.9375 0.3848 0.6833 0.300
tcrvdb_true A 48 0.4000 0.9556 0.4977 0.7500 0.500
tcrvdb_true A 67 0.5583 0.9222 0.5903 0.8000 0.700
tcrvdb_true A 96 0.8000 0.9333 0.5787 0.8000 1.000
tcrvdb_true B 14 0.1167 0.8375 0.2200 0.4833 0.150
tcrvdb_true B 28 0.2333 0.8667 0.3006 0.6167 0.300
tcrvdb_true B 48 0.4000 0.8458 0.2827 0.5833 0.500
tcrvdb_true B 67 0.5583 0.8958 0.2388 0.5667 0.700
tcrvdb_true B 96 0.8000 0.8889 0.3655 0.6500 1.000
vdjdb_hq A 300 0.1199 0.5978 0.1380 0.0742 0.150
vdjdb_hq A 600 0.2400 0.6221 0.1552 0.0893 0.300
vdjdb_hq A 1001 0.4002 0.6387 0.2204 0.1277 0.500
vdjdb_hq A 1401 0.5598 0.6501 0.1995 0.1252 0.700
vdjdb_hq A 2002 0.8000 0.6642 0.2262 0.1464 1.000
vdjdb_hq B 534 0.1199 0.5934 0.0602 0.0448 0.150
vdjdb_hq B 1069 0.2398 0.6137 0.1145 0.0727 0.300
vdjdb_hq B 1782 0.3998 0.6358 0.1376 0.0975 0.500
vdjdb_hq B 2495 0.5599 0.6440 0.1649 0.1168 0.700
vdjdb_hq B 3565 0.8000 0.6659 0.1877 0.1345 1.000
immrep22_true A 41 0.1175 0.6029 0.0515 0.1276 0.150
immrep22_true A 83 0.2390 0.6591 0.2246 0.1910 0.300
immrep22_true A 139 0.4006 0.6725 0.2654 0.2315 0.500
immrep22_true A 194 0.5582 0.6822 0.3110 0.2784 0.700
immrep22_true A 279 0.8000 0.6929 0.3164 0.2746 1.000
immrep22_true B 42 0.1182 0.6652 0.1723 0.1864 0.150
immrep22_true B 85 0.2387 0.6720 0.2429 0.2387 0.300
immrep22_true B 142 0.3983 0.6691 0.2710 0.2223 0.500
immrep22_true B 199 0.5585 0.7152 0.3977 0.3239 0.700
immrep22_true B 285 0.8000 0.7250 0.3692 0.3337 1.000
vdjdb_lq A 173 0.1204 0.5712 0.0703 0.0441 0.150
vdjdb_lq A 342 0.2373 0.5943 0.1137 0.0742 0.300
vdjdb_lq A 580 0.4024 0.6122 0.1302 0.0878 0.500
vdjdb_lq A 805 0.5587 0.6181 0.1422 0.0928 0.700
vdjdb_lq A 1153 0.8000 0.6301 0.1718 0.1065 1.000
vdjdb_lq B 306 0.1195 0.5645 0.0539 0.0369 0.150
vdjdb_lq B 613 0.2394 0.5948 0.0775 0.0481 0.300
vdjdb_lq B 1027 0.4010 0.6191 0.0970 0.0740 0.500
vdjdb_lq B 1432 0.5590 0.6211 0.1247 0.0783 0.700
vdjdb_lq B 2050 0.8000 0.6287 0.1363 0.0931 1.000
immrep25_pos A 118 0.1191 0.5770 0.0914 0.0557 0.150
immrep25_pos A 237 0.2394 0.5990 0.1489 0.0748 0.300
immrep25_pos A 396 0.3996 0.6121 0.1209 0.0939 0.500
immrep25_pos A 554 0.5596 0.6306 0.1277 0.0992 0.700
immrep25_pos A 792 0.8000 0.6328 0.1345 0.1194 1.000
immrep25_pos B 118 0.1194 0.5765 0.0637 0.0322 0.150
immrep25_pos B 237 0.2395 0.5785 0.0634 0.0502 0.300
immrep25_pos B 397 0.3998 0.5980 0.0587 0.0830 0.500
immrep25_pos B 555 0.5597 0.6127 0.1499 0.0936 0.700
immrep25_pos B 794 0.8000 0.6326 0.1156 0.1064 1.000
pairseq_mock A 120 0.1200 0.5050 0.0318 -0.0042 0.150
pairseq_mock A 240 0.2400 0.4949 -0.0166 -0.0158 0.300
pairseq_mock A 400 0.4000 0.4842 0.0111 -0.0105 0.500
pairseq_mock A 560 0.5600 0.4869 -0.0440 -0.0053 0.700
pairseq_mock A 800 0.8000 0.4796 0.0110 -0.0053 1.000
pairseq_mock B 119 0.1192 0.5181 -0.0175 0.0032 0.150
pairseq_mock B 239 0.2394 0.5327 0.0265 0.0242 0.300
pairseq_mock B 399 0.3994 0.5409 0.0674 0.0200 0.500
pairseq_mock B 559 0.5596 0.5364 0.0326 0.0158 0.700
pairseq_mock B 800 0.8000 0.5525 0.0664 0.0295 1.000
