# f ceiling_g0 ceiling_g_mid ceiling_g_hi
0.000 1.0000 0.6842 0.5789
0.020 0.9900 0.6800 0.5768
0.040 0.9800 0.6758 0.5747
0.060 0.9700 0.6716 0.5726
0.080 0.9600 0.6674 0.5705
0.100 0.9500 0.6632 0.5684
0.120 0.9400 0.6589 0.5663
0.140 0.9300 0.6547 0.5642
0.160 0.9200 0.6505 0.5621
0.180 0.9100 0.6463 0.5600
0.200 0.9000 0.6421 0.5579
0.220 0.8900 0.6379 0.5558
0.240 0.8800 0.6337 0.5537
0.260 0.8700 0.6295 0.5516
0.280 0.8600 0.6253 0.5495
0.300 0.8500 0.6211 0.5474
0.320 0.8400 0.6168 0.5453
0.340 0.8300 0.6126 0.5432
0.360 0.8200 0.6084 0.5411
0.380 0.8100 0.6042 0.5389
0.400 0.8000 0.6000 0.5368
0.420 0.7900 0.5958 0.5347
0.440 0.7800 0.5916 0.5326
0.460 0.7700 0.5874 0.5305
0.480 0.7600 0.5832 0.5284
0.500 0.7500 0.5789 0.5263
0.520 0.7400 0.5747 0.5242
0.540 0.7300 0.5705 0.5221
0.560 0.7200 0.5663 0.5200
0.580 0.7100 0.5621 0.5179
0.600 0.7000 0.5579 0.5158
0.620 0.6900 0.5537 0.5137
0.640 0.6800 0.5495 0.5116
0.660 0.6700 0.5453 0.5095
0.680 0.6600 0.5411 0.5074
0.700 0.6500 0.5368 0.5053
0.720 0.6400 0.5326 0.5032
0.740 0.6300 0.5284 0.5011
0.760 0.6200 0.5242 0.4989
0.780 0.6100 0.5200 0.4968
0.800 0.6000 0.5158 0.4947
0.820 0.5900 0.5116 0.4926
0.840 0.5800 0.5074 0.4905
0.860 0.5700 0.5032 0.4884
0.880 0.5600 0.4989 0.4863
0.900 0.5500 0.4947 0.4842
