Run	nTRA	nTRB	nTR	PMID	BioProject	Sample
SRR18719372	420	709	1129	36109152	PRJNA774251	SRX14819730
SRR18719910	459	610	1069	36109152	PRJNA774251	SRX14820642
SRR18720192	425	604	1029	36109152	PRJNA774251	SRX14820206
SRR10611258	385	575	960	28835680	PRJNA594302	SRX7290530
SRR18719894	343	548	891	36109152	PRJNA774251	SRX14820156
SRR18719462	279	470	749	36109152	PRJNA774251	SRX14820482
SRR18719437	296	442	738	36109152	PRJNA774251	SRX14820713
SRR18719867	303	426	729	36109152	PRJNA774251	SRX14819969
SRR18720381	268	449	717	36109152	PRJNA774251	SRX14820426
SRR10611246	254	425	679	28835680	PRJNA594302	SRX7290518
SRR18719985	297	347	644	36109152	PRJNA774251	SRX14819991
SRR18719955	249	392	641	36109152	PRJNA774251	SRX14819977
SRR18719718	240	400	640	36109152	PRJNA774251	SRX14820729
SRR18720065	230	381	611	36109152	PRJNA774251	SRX14820534
SRR18720378	222	385	607	36109152	PRJNA774251	SRX14820423
SRR18719909	266	327	593	36109152	PRJNA774251	SRX14820641
SRR18719946	231	349	580	36109152	PRJNA774251	SRX14820662
SRR18719553	225	350	575	36109152	PRJNA774251	SRX14819863
SRR18720374	234	337	571	36109152	PRJNA774251	SRX14820419
SRR18720180	220	341	561	36109152	PRJNA774251	SRX14820018
