score,hla,macro,mx,var,n_ge60
kf1_sum_a,A*02:01,0.5004912280701754,0.5316959064327486,0.0002087036695051472,0
kf1_sum_b,A*02:01,0.5003976608187135,0.5153216374269006,8.517957662186666e-05,0
kf1_sum_ab,A*02:01,0.5006081871345028,0.5203508771929825,0.00012817837967237774,0
kf1_mean_a,A*02:01,0.5002105263157894,0.5330994152046784,0.00019809390923703052,0
kf1_mean_b,A*02:01,0.5002105263157894,0.5244444444444445,0.00010346239868677548,0
kf2_sum_a,A*02:01,0.5029356725146198,0.5873684210526315,0.0010210825895147217,0
kf2_sum_b,A*02:01,0.5010526315789474,0.5714619883040936,0.000731282787866352,0
kf2_sum_ab,A*02:01,0.5010058479532163,0.5300584795321638,0.000349961218836565,0
kf2_mean_a,A*02:01,0.5025730994152047,0.584093567251462,0.000962475975513834,0
kf2_mean_b,A*02:01,0.5010058479532163,0.5716959064327485,0.0007176969323894524,0
kf3_sum_a,A*02:01,0.50106432748538,0.5298245614035088,0.0003521341951369653,0
kf3_sum_b,A*02:01,0.500327485380117,0.5266666666666666,0.0002021977360555381,0
kf3_sum_ab,A*02:01,0.5014502923976607,0.5656140350877192,0.0006984828152251968,0
kf3_mean_a,A*02:01,0.5012865497076024,0.528187134502924,0.00032961116240894615,0
kf3_mean_b,A*02:01,0.5003508771929824,0.5328654970760234,0.00022966109230190463,0
kf4_sum_a,A*02:01,0.500842105263158,0.5207017543859649,0.0001934647925857527,0
kf4_sum_b,A*02:01,0.5011111111111111,0.5334502923976608,0.0002911507814370238,0
kf4_sum_ab,A*02:01,0.5011929824561403,0.5407017543859649,0.00046500954139735306,0
kf4_mean_a,A*02:01,0.5007719298245614,0.5185964912280702,0.00017671406586642024,0
kf4_mean_b,A*02:01,0.5012514619883042,0.5431578947368421,0.00034472158954892095,0
kf5_sum_a,A*02:01,0.5008654970760233,0.5342690058479532,0.0002636167025751512,0
kf5_sum_b,A*02:01,0.5004912280701754,0.5178947368421053,0.0001189584487534629,0
kf5_sum_ab,A*02:01,0.5007953216374269,0.5380116959064327,0.0003433009814985808,0
kf5_mean_a,A*02:01,0.5006783625730994,0.5345029239766081,0.00023526637255907797,0
kf5_mean_b,A*02:01,0.5004912280701754,0.5171929824561403,0.00011924298074621226,0
kf6_sum_a,A*02:01,0.5009590643274853,0.5721637426900585,0.0006607429294483783,0
kf6_sum_b,A*02:01,0.5010350877192983,0.5375438596491228,0.0002310441161382987,0
kf6_sum_ab,A*02:01,0.500842105263158,0.5595321637426901,0.0004927705618822892,0
kf6_mean_a,A*02:01,0.5009122807017543,0.5749707602339181,0.0007012887384152391,0
kf6_mean_b,A*02:01,0.5009122807017544,0.5391812865497077,0.0002563901371362133,0
kf7_sum_a,A*02:01,0.500608187134503,0.5246783625730994,0.00022582483499196363,0
kf7_sum_b,A*02:01,0.5001871345029241,0.5097076023391813,3.3099278410451244e-05,0
kf7_sum_ab,A*02:01,0.5003976608187135,0.5174269005847953,0.00017441865873260137,0
kf7_mean_a,A*02:01,0.5007017543859649,0.5295906432748538,0.00026384049793098756,0
kf7_mean_b,A*02:01,0.500280701754386,0.5316959064327486,0.0001366360931568689,0
kf8_sum_a,A*02:01,0.5007251461988304,0.5212865497076024,0.00018463062138777733,0
kf8_sum_b,A*02:01,0.5007953216374269,0.5247953216374269,0.00020970500324886304,0
kf8_sum_ab,A*02:01,0.5009005847953216,0.5621052631578948,0.0006377895420813249,0
kf8_mean_a,A*02:01,0.5004912280701753,0.519298245614035,0.00015781074518655302,0
kf8_mean_b,A*02:01,0.5009590643274853,0.5318128654970761,0.0002795466639307824,0
kf9_sum_a,A*02:01,0.5012982456140351,0.5513450292397661,0.0003714577476830483,0
kf9_sum_b,A*02:01,0.5004093567251462,0.5336842105263158,0.00028043432167162535,0
kf9_sum_ab,A*02:01,0.5004912280701754,0.5451461988304094,0.00028191046817824304,0
kf9_mean_a,A*02:01,0.5015906432748538,0.5766081871345029,0.0007144795321637423,0
kf9_mean_b,A*02:01,0.50046783625731,0.5295906432748538,0.0002468342395950892,0
kf10_sum_a,A*02:01,0.5005380116959064,0.531578947368421,0.00019311022194863373,0
kf10_sum_b,A*02:01,0.5006783625730995,0.5181286549707602,0.00023296549365616734,0
kf10_sum_ab,A*02:01,0.5004678362573098,0.5415204678362573,0.00025518415922848043,0
kf10_mean_a,A*02:01,0.5003274853801168,0.5258479532163742,0.00015001894600047853,0
kf10_mean_b,A*02:01,0.5007251461988304,0.5214035087719299,0.00023595581546458755,0
kf_PC1,A*02:01,0.5032982456140351,0.5861988304093567,0.001098273793645908,0
kf_PC2,A*02:01,0.5021754385964912,0.5897076023391813,0.0010023274169830032,0
kf_PC3,A*02:01,0.5006549707602338,0.5345029239766081,0.00026256885879415864,0
kf1_sum_a,B*40:01,0.5011695906432748,0.5261988304093568,0.00023196470708936097,0
kf1_sum_b,B*40:01,0.5003040935672514,0.527719298245614,0.00020204014910570772,0
kf1_sum_ab,B*40:01,0.5012397660818714,0.543859649122807,0.000499318627953901,0
