cohort,chain,n_draws,n_ep_median,reached_target,degenerate,sn_median,sn_lo,sn_hi,sigma_log,detection_rate,mde_fold,pinned_mean
immrep25_pos,A,200,20,True,False,2.260238756121991,1.8268654850983328,2.675812112047938,0.3712605803928196,1.0,1.7588479883751806,0.255
immrep25_pos,B,200,20,True,False,1.9468381871384919,1.6757595378655823,2.250163554063178,0.41883062348794814,1.0,1.8908178344204825,6.385
vdjdb_hq,A,200,20,True,False,3.0204698290002634,2.0685582512428464,4.345584236645759,0.4982635820048945,1.0,2.133621833623763,0.795
vdjdb_hq,B,200,20,True,False,3.2249375000969778,2.0500654467302186,5.569218659689597,0.47513411404257533,1.0,2.0598697844793468,4.63
vdjdb_lq,A,200,19,False,False,2.7686104196777723,2.190574406618945,3.384536367311126,0.45720613176602787,1.0,2.045440392470998,0.25
vdjdb_lq,B,200,20,True,False,2.128649789053419,1.5534721327324978,3.0224257020605734,0.4448700021398799,0.98,1.9672042298897279,5.555
immrep22_true,A,200,6,False,False,3.6405507462629614,2.475156671360325,5.3375878971258555,0.5227919129868608,0.545,5.557681922864468,0.17
immrep22_true,B,200,6,False,False,1.9716224352566176,1.3429335518705499,2.9049472685089777,0.5109954908070553,0.0,5.346698552332093,2.08
tcrvdb_true,A,200,2,False,False,21.794494717703362,10.997717802865894,35.651086939951774,0.12893399779500783,0.545,19.226971936753024,0.005
tcrvdb_true,B,200,2,False,False,14.38749456993816,7.924227547041319,25.98076211353317,0.138801274691907,0.405,24.108388158617394,0.0
