cohort,chain,n_ep,sn,sigma_log,p,detected,n_pinned
immrep25_pos,A,20,2.118231084724737,0.3441388302571905,0.00044698534753198816,True,0
immrep25_pos,A,20,1.8229387357493476,0.3333666332280006,0.0024047414885311562,True,0
immrep25_pos,A,20,2.1117440068826814,0.40359787198168406,0.0019204521872813814,True,1
immrep25_pos,A,20,2.340461630128621,0.3706961575530351,0.00027136712524733866,True,1
immrep25_pos,A,20,2.6084709086320688,0.3476125300318467,3.604716129226552e-05,True,0
immrep25_pos,A,20,2.3712003027790725,0.36636370610048496,0.0002058326044667177,True,0
immrep25_pos,A,20,2.370789386895668,0.39792614469801457,0.0004708401600738956,True,0
immrep25_pos,A,20,2.118002199109949,0.3753345632796557,0.0009999345159091438,True,0
immrep25_pos,A,20,1.9775962139061174,0.36537564205048223,0.0018042338117812823,True,1
immrep25_pos,A,20,2.2257652565282386,0.3306266642517958,0.00015589063678561762,True,1
immrep25_pos,A,20,2.0212974371831924,0.39604869840873475,0.002675996949117858,True,0
immrep25_pos,A,20,2.2133484871315705,0.4137462024194908,0.0014205483366292267,True,0
immrep25_pos,A,20,2.534688090501659,0.36512961252677373,8.943861729712674e-05,True,0
immrep25_pos,A,20,2.4597635893421055,0.33839748358780797,5.4958251430991686e-05,True,0
immrep25_pos,A,20,2.1161534485958446,0.3701881492882624,0.0008932293119750897,True,0
immrep25_pos,A,20,2.0196843421805437,0.3452214882517456,0.0008496011644285216,True,1
immrep25_pos,A,20,2.5016264884267225,0.36918340656961746,0.00011795316950802822,True,0
immrep25_pos,A,20,2.1418952737657557,0.3933153832078353,0.0013214887608096455,True,0
immrep25_pos,A,20,2.0090811755938947,0.3247708634341992,0.0005169631530882237,True,0
immrep25_pos,A,20,2.244878960350055,0.3925326760340421,0.0007641804401191788,True,0
immrep25_pos,A,20,2.387873860150812,0.35675253001494717,0.00014291193387523633,True,0
immrep25_pos,A,20,2.56821577389091,0.4207887265015721,0.00034201471244306604,True,0
immrep25_pos,A,20,2.4756401027284842,0.39585158833319956,0.00027610782050239757,True,0
immrep25_pos,A,20,2.2875900530635396,0.3913907274855933,0.0006009665056958392,True,0
immrep25_pos,A,20,1.98480319367813,0.36449999954043355,0.001692441346069046,True,0
immrep25_pos,A,20,1.82334361311444,0.37269847576774,0.0055104031157466446,True,0
immrep25_pos,A,20,2.7864242815089257,0.37358119228393866,3.844427128300562e-05,True,0
immrep25_pos,A,20,2.8393009614500193,0.4018724075519895,7.215524424469918e-05,True,0
immrep25_pos,A,20,2.313606420707051,0.3968410492397535,0.0006024101802114339,True,0
immrep25_pos,A,20,2.2052327454851812,0.34906322831052156,0.0003075253295593205,True,0
immrep25_pos,A,20,2.014126621097236,0.3653790251920194,0.0014456074184708316,True,0
immrep25_pos,A,20,1.7449546409946894,0.3882420002769514,0.011800357465034973,True,1
immrep25_pos,A,20,2.1988901289333476,0.3987941403087848,0.0011104660669234016,True,0
immrep25_pos,A,20,2.5814783686623555,0.3461312968800112,3.897016733124629e-05,True,0
immrep25_pos,A,20,1.9983296432218722,0.3759268744137518,0.002011750649557618,True,1
immrep25_pos,A,20,2.1039767998530925,0.3375600741795427,0.0004045953632547398,True,0
immrep25_pos,A,20,1.8511371870987738,0.3937772896405973,0.006777357879229786,True,1
immrep25_pos,A,20,2.509853126630539,0.38134081392389246,0.00016062512101003857,True,0
immrep25_pos,A,20,2.2331360555749646,0.398972473076705,0.0009388416270798426,True,0
immrep25_pos,A,20,2.165224406330181,0.35443340716309585,0.0004498444254544526,True,0
immrep25_pos,A,20,2.0629098417216665,0.39394846461026006,0.0020431807863101315,True,0
immrep25_pos,A,20,2.0882746101109153,0.39328719899499615,0.0017568679756299914,True,0
immrep25_pos,A,20,2.1776751343770884,0.3680458964202738,0.0006001282770641238,True,2
immrep25_pos,A,20,2.154327138877543,0.439466123521214,0.003060169826753752,True,1
immrep25_pos,A,20,2.4586322089915345,0.38102689720952043,0.00020194312811138733,True,0
immrep25_pos,A,20,1.9741024438283172,0.4008776901756344,0.0038071108047985657,True,0
immrep25_pos,A,20,2.1116247809209656,0.37577521792228313,0.001046999845073113,True,1
immrep25_pos,A,20,1.9708496858352076,0.3314966416844861,0.0008110456510650534,True,0
immrep25_pos,A,20,2.235101251808291,0.3352787199456875,0.00017100064164292627,True,0
immrep25_pos,A,20,2.3017425365112363,0.41295396647565846,0.0009178477780652268,True,0
immrep25_pos,A,20,2.542857471161106,0.37273450620893245,0.00010800609217685024,True,1
immrep25_pos,A,20,2.002595337175811,0.3244014673038903,0.0005344881547713067,True,0
immrep25_pos,A,20,2.2989830267845632,0.426571554411032,0.001236834362926651,True,1
immrep25_pos,A,20,2.1307596926072434,0.38505550784999915,0.0011672236156990334,True,0
immrep25_pos,A,20,2.5737796467254235,0.3457933723074192,3.997636604951915e-05,True,0
immrep25_pos,A,20,1.8617781635784572,0.3530154535259068,0.002874453761088901,True,0
immrep25_pos,A,20,2.1936717694087227,0.34775802489868696,0.00031663966087474785,True,0
immrep25_pos,A,20,2.4270393328867086,0.35393671928772336,0.00010740729192124915,True,0
immrep25_pos,A,20,2.330945858889682,0.37952039707299773,0.00036014322075359883,True,0
immrep25_pos,A,20,2.433783702268199,0.3308614388304901,4.861961673723488e-05,True,0
immrep25_pos,A,20,1.9284901933820215,0.36583007460475137,0.0024688616150094836,True,0
immrep25_pos,A,20,2.586823452329991,0.35999857196860774,5.982659973170301e-05,True,0
immrep25_pos,A,20,2.5363745725696596,0.3749750719786793,0.00011876640079818915,True,0
immrep25_pos,A,20,2.5733672759712785,0.41296954889359283,0.00027753887466508507,True,1
immrep25_pos,A,20,1.8269557895081763,0.33753911566792527,0.0025774441198335852,True,0
immrep25_pos,A,20,2.2138611284378436,0.35333610178713054,0.0003305564576390001,True,1
immrep25_pos,A,20,2.5131456720409324,0.38657869787145566,0.00018267062259723355,True,0
immrep25_pos,A,20,2.2349568629783922,0.3503243369933898,0.00026930709864292834,True,0
immrep25_pos,A,20,2.5399915108996844,0.3762834641581343,0.00012130509797207292,True,0
immrep25_pos,A,20,2.3730620777256135,0.36799390195892917,0.00021349468992291925,True,1
immrep25_pos,A,20,2.115211618287031,0.3718972171461549,0.000935832393738605,True,1
immrep25_pos,A,20,1.9063255432356645,0.37203802787582163,0.003228765939809585,True,0
immrep25_pos,A,20,1.954432598209875,0.3341643617880751,0.0009744409075448474,True,0
immrep25_pos,A,20,2.161335214969222,0.322707848574066,0.00017910668741240372,True,0
immrep25_pos,A,20,1.9791383505128097,0.4118988012528055,0.0045180245853553725,True,2
immrep25_pos,A,20,2.1010024748946186,0.3648023881995635,0.0008537165496968906,True,1
immrep25_pos,A,20,2.538878041741186,0.3428735672145996,4.29098931740742e-05,True,0
immrep25_pos,A,20,2.310644533777849,0.3195755369543149,6.503902617376914e-05,True,0
immrep25_pos,A,20,1.820945102748734,0.42786354980609637,0.013569331811476633,True,1
immrep25_pos,A,20,2.561574332043233,0.35735241879024676,6.190089598634285e-05,True,0
immrep25_pos,A,20,2.5693471443771605,0.3678691185864114,8.27315195567835e-05,True,0
immrep25_pos,A,20,2.4644166060463673,0.3467672468866051,7.082480048990948e-05,True,1
immrep25_pos,A,20,2.210873076233472,0.3680269413432504,0.0004999031995223664,True,1
immrep25_pos,A,20,2.4254473481912227,0.40027008547098114,0.00038708194612085755,True,0
immrep25_pos,A,20,2.5668010470023397,0.39697182616950955,0.0001902013322505492,True,0
immrep25_pos,A,20,2.1523710253222497,0.40943067918875703,0.0017567356941130155,True,0
immrep25_pos,A,20,2.2657249517043034,0.35834378877720696,0.0002854837542625531,True,0
immrep25_pos,A,20,2.603444893797588,0.33674891300860504,2.530131247932945e-05,True,0
immrep25_pos,A,20,2.4973191186766472,0.37643103147708007,0.00014832720838587265,True,0
immrep25_pos,A,20,2.56291133183528,0.3421053077663965,3.7157601738037514e-05,True,0
immrep25_pos,A,20,2.31178368063046,0.3707797690045797,0.00031499488199511483,True,0
immrep25_pos,A,20,2.4085453457906114,0.39554812470473916,0.0003723907689350941,True,1
immrep25_pos,A,20,2.1918386483487646,0.3289978629426453,0.0001815327383596772,True,1
immrep25_pos,A,20,2.373233983167602,0.38690304072679454,0.0003539514209801057,True,1
immrep25_pos,A,20,2.615755741336948,0.39708633766884754,0.0001548222781844196,True,0
immrep25_pos,A,20,2.0397935847287254,0.3413919906970779,0.0006749839076875127,True,0
immrep25_pos,A,20,2.264098111618781,0.38017120509559,0.0005140353131785031,True,0
immrep25_pos,A,20,1.5580817019218869,0.39497951282301264,0.041989674124268274,True,0
immrep25_pos,A,20,1.9602272927543003,0.3803334437559646,0.002762646930329914,True,1
immrep25_pos,A,20,2.225941440692831,0.33937285265685163,0.00020478936373416145,True,0
immrep25_pos,A,20,2.3945876216608646,0.3714423702829662,0.00021115129978396192,True,0
