term,beta,se,p,fold,n,k,covariates,chain,model
intercept,0.4746904633993738,0.08819503931424785,4.790078655419118e-07,2.983255592233277,106,5,0,A,unadjusted
cohort[vdjdb_hq],0.4868916971055574,0.12237727343189735,0.00013059041895555225,3.06825674145078,106,5,0,A,unadjusted
cohort[vdjdb_lq],0.026038825682384026,0.13000257391102088,0.8416528659258613,1.0617904764271158,106,5,0,A,unadjusted
cohort[immrep22_true],0.31412510321704584,0.24470866579724215,0.20219478941426638,2.0612235854795338,106,5,0,A,unadjusted
cohort[tcrvdb_true],1.7410477088164042,0.2463630241375743,2.084345821178344e-10,55.08682079426147,106,5,0,A,unadjusted
intercept,0.28887009578735917,0.09937527731753121,0.004553466067403408,1.944778281279363,106,12,6,A,adjusted
cohort[vdjdb_hq],0.8501404522519478,0.12875646196127946,2.382968989103444e-09,7.081747733857517,106,12,6,A,adjusted
cohort[vdjdb_lq],0.43766035582499074,0.15882766824581768,0.007036760946696906,2.739430935666912,106,12,6,A,adjusted
cohort[immrep22_true],0.14014059923302186,0.23220148417329378,0.5476096805045365,1.3808312248945966,106,12,6,A,adjusted
cohort[tcrvdb_true],1.3089901777913981,0.23212434521841935,1.787823063092251e-07,20.369960075233987,106,12,6,A,adjusted
cdr3_len,-0.06500225419208672,0.05866211298200018,0.2706549318412214,0.8609892832347364,106,12,6,A,adjusted
v_entropy,-0.03027768714470709,0.054581562116964084,0.5804011891403179,0.9326577703329344,106,12,6,A,adjusted
j_entropy,-0.2511557486574296,0.06409171167506042,0.00016887496126576342,0.5608468065362293,106,12,6,A,adjusted
log_pgen,0.23481403727782046,0.8517840903327252,0.7834042012223899,1.717172944857182,106,12,6,A,adjusted
missing[log_pgen],-0.4047760323338438,0.14759336281719979,0.0073007149955415926,0.3937530833852846,106,12,6,A,adjusted
log_degree,-0.4451337667437979,0.7348690877631873,0.5461525143827369,0.3588114003711635,106,12,6,A,adjusted
n,-0.020342621571054792,0.04270139952891218,0.6349003505821602,0.9542394748474132,106,12,6,A,adjusted
intercept,0.3760542458753104,0.10776267277863576,0.0006278906370939729,2.377137186170724,162,5,0,B,unadjusted
cohort[vdjdb_hq],0.7930928672596156,0.12159141493791742,9.002414867871292e-10,6.2100181181144505,162,5,0,B,unadjusted
cohort[vdjdb_lq],0.16690978809810814,0.13764404187985899,0.22709701039529462,1.4686211831130564,162,5,0,B,unadjusted
cohort[immrep22_true],0.23209778009826199,0.30933522080378395,0.4541900807531218,1.7064665515739459,162,5,0,B,unadjusted
cohort[tcrvdb_true],1.7973666389458134,0.14596538169598583,8.175548039346084e-25,62.71430863395204,162,5,0,B,unadjusted
intercept,0.22226299693274515,0.1156875244545785,0.05659860392516204,1.6682571579088032,162,12,6,B,adjusted
cohort[vdjdb_hq],1.145973707849984,0.15891175744927286,2.539695806401882e-11,13.995025942430571,162,12,6,B,adjusted
cohort[vdjdb_lq],0.5265352382255443,0.1826436423035949,0.00452034801613468,3.3615164295302393,162,12,6,B,adjusted
cohort[immrep22_true],0.1721852848073119,0.29033450994787563,0.5540352602836388,1.4865697282579446,162,12,6,B,adjusted
cohort[tcrvdb_true],1.6259082608960915,0.13807926907644055,4.444081970823375e-23,42.25793404054864,162,12,6,B,adjusted
cdr3_len,-0.04871474981315965,0.0492085837298062,0.3237857055910041,0.893892410963894,162,12,6,B,adjusted
v_entropy,-0.15875249713454764,0.04764205854874411,0.0010851518472579293,0.6938210995204296,162,12,6,B,adjusted
j_entropy,-0.05497896414222403,0.04938997629500729,0.26742023356806827,0.8810915492758943,162,12,6,B,adjusted
log_pgen,0.029784315601291744,0.5360203354063053,0.9557617767362524,1.0709872869230568,162,12,6,B,adjusted
missing[log_pgen],-0.26659130522889984,0.11138365516128444,0.017926935489353642,0.5412634417445275,162,12,6,B,adjusted
log_degree,-0.13347204190818268,0.5359411721465263,0.8036687120107747,0.7354073364500238,162,12,6,B,adjusted
n,-0.06257383819089171,0.037000099486116336,0.09287905476253717,0.8658171057315157,162,12,6,B,adjusted
