cohort,label,chain,expect,n,n_ep,H_a,train_auc,heldout_auc,heldout_sd,train_auc01,heldout_auc01,heldout01_sd,gap,gap01,I_train,I_heldout,I_heldout_sd,U_heldout
tcrvdb_true,TCRvdb pos,A,signal,120,2,1.0,1.0,0.9444444444444444,0.01412985413151092,1.0,0.8543859649122808,0.027475074277904726,0.05555555555555554,0.1456140350877192,0.9924301674591545,0.5882253706335712,0.016186776114263193,0.5882253706335712
tcrvdb_true,TCRvdb pos,B,signal,120,2,1.0,1.0,0.9105555555555555,0.021619428562245205,1.0,0.8017543859649123,0.024650874355921,0.0894444444444444,0.19824561403508772,0.9924301674591545,0.37691019751885263,0.060113435907541604,0.37691019751885263
vdjdb_hq,VDJdb HQ,A,signal,2503,46,5.523561956057013,0.99875208763053,0.6668801766299323,0.0023623360746577973,0.9937599290771619,0.5947794173316016,0.0019980457418685453,0.3318719110005978,0.39898051174556026,4.203885274247436,0.23247573501957136,0.010994068269651111,0.04208801075629173
vdjdb_hq,VDJdb HQ,B,signal,4457,83,6.3750394313469245,0.9963365021000758,0.6656854067519725,0.0015960615481635113,0.9829869869788903,0.6064269706455632,0.0012269701497625368,0.33065109534810333,0.37656001633332703,4.021591329085194,0.19692945127698128,0.009896983033383634,0.03089070324940309
immrep22_true,IMMREP22 pos,A,signal,349,7,2.807354922057604,0.9999788881069669,0.6961395473320617,0.00757560247435069,0.9998888847735099,0.6127855214171335,0.004658614439694848,0.3038393407749051,0.3871033633563766,2.656351288853823,0.32305385438430884,0.027508767850798997,0.11507410475463925
immrep22_true,IMMREP22 pos,B,signal,357,7,2.807354922057604,0.9999703344978158,0.7336359539100932,0.010636969692586686,0.9998438657779782,0.6400435315844012,0.004056082323965054,0.26633438058772274,0.35980033419357715,2.6714315857053954,0.35316663026752637,0.02703414604220935,0.12580049194801446
vdjdb_lq,VDJdb LQ,A,weak,1442,31,4.954196310386875,0.9987037993249572,0.6342338949768471,0.005965751695857715,0.9931946221495481,0.5637927552737185,0.0033244940694945246,0.36446990434811,0.4294018668758296,4.0029470309091915,0.1665103621531971,0.022972520074212452,0.03360996450707748
vdjdb_lq,VDJdb LQ,B,weak,2563,50,5.643856189774724,0.9977940827103804,0.628187834669251,0.0022540529208642415,0.9891471318728506,0.5653190104778919,0.00022157442518318233,0.3696062480411296,0.42382812139495857,4.089613307508006,0.13544865720232252,0.009707476408233344,0.023999310515339156
tcrvdb_false,TCRvdb neg,A,noise,109,2,1.0,1.0,0.5935185185185186,0.036097813316048236,1.0,0.5559259259259259,0.017562719989983606,0.4064814814814815,0.44407407407407407,0.9842419052822848,0.0074523026458269736,0.033838186940827054,0.0074523026458269736
tcrvdb_false,TCRvdb neg,B,noise,106,2,1.0,1.0,0.7357037037037036,0.02466698642880277,1.0,0.627017543859649,0.025701201814605983,0.26429629629629636,0.3729824561403509,0.9785340538675854,0.08520802650083295,0.01419818941228056,0.08520802650083295
immrep25_pos,IMMREP25 pos,A,test,991,20,4.321928094887363,0.99995861370077,0.6357903809061287,0.007041968136059547,0.9997821773724735,0.5607869331524518,0.0026579314708850684,0.3641682327946411,0.4389952442200219,3.904374144405852,0.14022110429650841,0.01985074646357046,0.03244410855941435
immrep25_pos,IMMREP25 pos,B,test,993,20,4.321928094887363,0.9999366838542805,0.633542331643398,0.003305065180137381,0.9996667571277922,0.5617074550463088,0.0038483696381272615,0.3663943522108826,0.43795930208148326,3.893529916586852,0.10251873959412472,0.019168640893493013,0.02372060278267923
pairseq_mock,pairSEQ mock,A,test,1000,20,4.321928094887363,0.9998675657894737,0.4920021052631579,0.0076493156864463185,0.9993054016620497,0.5010747922437673,0.00410871589862177,0.5078654605263158,0.49823060941828257,3.8776806277414573,0.0016722731979676726,0.018730266152437707,0.0003869275844607163
pairseq_mock,pairSEQ mock,B,test,1000,20,4.321928094887363,0.9998851315789473,0.5576884210526316,0.006340528740502761,0.9993954293628808,0.5174542936288088,0.0018024281744123945,0.4421967105263157,0.48194113573407193,3.879194432072473,0.05397894921047038,0.020225076485229997,0.012489552816560029
mlr_prolif,MLR expanded,B,real,720,12,3.584962500721156,0.9866791614057238,0.5070159932659932,0.008743786262588035,0.9300273915138224,0.5020473743280761,0.0054112484112915915,0.47966316813973064,0.4279800171857463,2.2318346613088034,-0.03847545382957276,0.037726048625420804,-0.010732456426485069
airr_control,AIRR rand,A,real,1000,20,4.321928094887363,0.999905592105263,0.49487789473684207,0.00468218377206041,0.9995031163434902,0.5016509695290857,0.0030472550950749024,0.505027697368421,0.4978521468144046,3.899966649086912,0.01950630743902235,0.030004214674438374,0.004513334560585909
airr_control,AIRR rand,B,real,1000,20,4.321928094887363,0.9996363157894738,0.5174642105263156,0.0053418296532481094,0.998431786703601,0.5042603878116344,0.0019924774697383783,0.4821721052631579,0.4941713988919668,3.863531356129697,0.0036068493946390576,0.013474442508173827,0.0008345463680679442
olga_random,OLGA rand,A,noise,1000,20,4.321928094887363,0.9998011842105262,0.48555894736842103,0.008768464806866253,0.9989536011080332,0.4945540166204985,0.0029866583319240842,0.5142422368421051,0.5043995844875346,3.862247971872416,-0.008372013997750791,0.030732806184497773,-0.00193710163934807
olga_random,OLGA rand,B,noise,1000,20,4.321928094887363,0.9996167763157894,0.4893368421052632,0.006393296350643165,0.9981108033240998,0.4977506925207756,0.0030244309755276763,0.5102799342105262,0.5003601108033242,3.8437584436153562,-0.006871889589992959,0.019057891626352477,-0.0015900055343637208
