cohort,label,chain,frac,n_train,frac_receptors,heldout_auc,I_heldout,top1_excess
tcrvdb_true,TCRvdb pos,A,0.15,14,0.11666666666666667,0.9,0.4599858918043346,0.7333333333333332
tcrvdb_true,TCRvdb pos,A,0.3,28,0.23333333333333334,0.9375,0.38484280047702446,0.6833333333333332
tcrvdb_true,TCRvdb pos,A,0.5,48,0.4,0.9555555555555555,0.49765176671679984,0.75
tcrvdb_true,TCRvdb pos,A,0.7,67,0.5583333333333333,0.9222222222222222,0.5902751649596893,0.8
tcrvdb_true,TCRvdb pos,A,1.0,96,0.8,0.9333333333333333,0.5786812169887185,0.8
tcrvdb_true,TCRvdb pos,B,0.15,14,0.11666666666666667,0.8375,0.2199686816386525,0.4833333333333334
tcrvdb_true,TCRvdb pos,B,0.3,28,0.23333333333333334,0.8666666666666668,0.3005803756490518,0.6166666666666666
tcrvdb_true,TCRvdb pos,B,0.5,48,0.4,0.8458333333333332,0.282714404961245,0.5833333333333333
tcrvdb_true,TCRvdb pos,B,0.7,67,0.5583333333333333,0.8958333333333333,0.23878727449609055,0.5666666666666667
tcrvdb_true,TCRvdb pos,B,1.0,96,0.8,0.888888888888889,0.3655407324823,0.65
vdjdb_hq,VDJdb HQ,A,0.15,300,0.11985617259288853,0.5977657903010543,0.13801847617931484,0.07416635888765778
vdjdb_hq,VDJdb HQ,A,0.3,600,0.24003196164602475,0.6221077504304044,0.155233676548667,0.08927159264192612
vdjdb_hq,VDJdb HQ,A,0.5,1001,0.40015980823012387,0.6386945119562041,0.2204277159155704,0.12766477732577597
vdjdb_hq,VDJdb HQ,A,0.7,1401,0.5598082301238514,0.6500850490804508,0.19946225174081347,0.1251967141201898
vdjdb_hq,VDJdb HQ,A,1.0,2002,0.8,0.6641547972307598,0.22620827076576946,0.14644103020856528
vdjdb_hq,VDJdb HQ,B,0.15,534,0.11990127888714382,0.5934079204713616,0.060163716733777496,0.04480972177570669
vdjdb_hq,VDJdb HQ,B,0.3,1069,0.23984743100740408,0.6136510511006695,0.11451538262437869,0.07274260462856476
vdjdb_hq,VDJdb HQ,B,0.5,1782,0.3998205070675342,0.6357681208325289,0.1376058302774032,0.09749742923664685
vdjdb_hq,VDJdb HQ,B,0.7,2495,0.5599282028270137,0.643969233426622,0.16488070020015327,0.1167983319775219
vdjdb_hq,VDJdb HQ,B,1.0,3565,0.7999999999999999,0.6659104831129692,0.1877475716026958,0.13451313479932822
immrep22_true,IMMREP22 pos,A,0.15,41,0.1174785100286533,0.6028714727170177,0.05151062266201697,0.1276328502415459
immrep22_true,IMMREP22 pos,A,0.3,83,0.23896848137535817,0.6591344904105828,0.22458605839377926,0.1909661835748792
immrep22_true,IMMREP22 pos,A,0.5,139,0.40057306590257885,0.6725128993272322,0.2653817782320319,0.23154589371980677
immrep22_true,IMMREP22 pos,A,0.7,194,0.5581661891117479,0.682212308212949,0.31100062249398197,0.27835748792270526
immrep22_true,IMMREP22 pos,A,1.0,279,0.7999999999999999,0.6928758572440774,0.31638242315060594,0.2746376811594203
immrep22_true,IMMREP22 pos,B,0.15,42,0.11820728291316528,0.6652144558359349,0.17234712139452785,0.18639149713093378
immrep22_true,IMMREP22 pos,B,0.3,85,0.23865546218487396,0.6719939989889289,0.24285153488392583,0.23865414710485128
immrep22_true,IMMREP22 pos,B,0.5,142,0.3983193277310924,0.6690639029380492,0.2710242724533194,0.22231351069379235
immrep22_true,IMMREP22 pos,B,0.7,199,0.5585434173669468,0.7151557199939974,0.39772598554981897,0.32387193531559727
immrep22_true,IMMREP22 pos,B,1.0,285,0.8,0.7249826066319144,0.3692146390235387,0.3336854460093897
