rep,label,arm,dim_raw,dim_used,macro01,max01,macro_full,n_above_best,n_ep
esm2_35M,ESM-2 35M,blind,960,64,0.5007134502923977,0.5534502923976609,0.5,0,20
esm2_35M,ESM-2 35M,lopo,960,64,0.48073684210526313,0.5026900584795322,0.5353511111111112,0,20
esm2_35M,ESM-2 35M,cv,960,64,0.534327485380117,0.631578947368421,0.591968888888889,2,20
esm2_650M,ESM-2 650M,blind,2560,64,0.5009239766081871,0.5777777777777777,0.4999999999999999,0,20
esm2_650M,ESM-2 650M,lopo,2560,64,0.48235087719298236,0.4942690058479532,0.5132288888888888,0,20
esm2_650M,ESM-2 650M,cv,2560,64,0.5364678362573099,0.6516959064327486,0.5972222222222223,1,20
sceptr_a_sceptr,SCEPTR (alpha only),blind,64,64,0.5009473684210527,0.5576608187134503,0.5,0,20
sceptr_a_sceptr,SCEPTR (alpha only),lopo,64,64,0.4836842105263158,0.5005847953216375,0.5520266666666667,0,20
sceptr_a_sceptr,SCEPTR (alpha only),cv,64,64,0.5855438596491227,0.8126315789473684,0.6427355555555555,7,20
sceptr_average_pooling,SCEPTR (average pooling),blind,64,64,0.5015438596491227,0.5581286549707603,0.5000000000000001,0,20
sceptr_average_pooling,SCEPTR (average pooling),lopo,64,64,0.48625730994152033,0.5307602339181287,0.528548888888889,0,20
sceptr_average_pooling,SCEPTR (average pooling),cv,64,64,0.590233918128655,0.7319298245614035,0.6555622222222223,8,20
sceptr_b_sceptr,SCEPTR (beta only),blind,64,64,0.5041286549707602,0.7092397660818713,0.5,1,20
sceptr_b_sceptr,SCEPTR (beta only),lopo,64,64,0.48504093567251455,0.5279532163742691,0.5361644444444444,0,20
sceptr_b_sceptr,SCEPTR (beta only),cv,64,64,0.5945380116959064,0.7302923976608188,0.65592,10,20
sceptr_blosum,SCEPTR (BLOSUM ablation),blind,64,64,0.5032631578947367,0.6982456140350877,0.4999999999999999,1,20
sceptr_blosum,SCEPTR (BLOSUM ablation),lopo,64,64,0.4854736842105263,0.5291228070175439,0.5509777777777778,0,20
sceptr_blosum,SCEPTR (BLOSUM ablation),cv,64,64,0.6019649122807018,0.7408187134502924,0.6887955555555556,9,20
sceptr_cdr3_only,SCEPTR (CDR3 only),blind,64,64,0.5011812865497076,0.5801169590643275,0.5,0,20
sceptr_cdr3_only,SCEPTR (CDR3 only),lopo,64,64,0.4817426900584795,0.49309941520467837,0.535768888888889,0,20
sceptr_cdr3_only,SCEPTR (CDR3 only),cv,64,64,0.5493450292397661,0.688187134502924,0.6109399999999999,2,20
sceptr_default,SCEPTR,blind,64,64,0.5040818713450292,0.6231578947368421,0.5000000000000001,2,20
sceptr_default,SCEPTR,lopo,64,64,0.48985964912280694,0.5405847953216374,0.5597422222222221,0,20
sceptr_default,SCEPTR,cv,64,64,0.5981520467836258,0.7646783625730995,0.6816599999999999,9,20
sceptr_large,SCEPTR (large),blind,128,64,0.5017192982456139,0.5777777777777777,0.5,0,20
sceptr_large,SCEPTR (large),lopo,128,64,0.4857543859649123,0.5340350877192983,0.5410666666666668,0,20
sceptr_large,SCEPTR (large),cv,128,64,0.6089590643274854,0.7345029239766082,0.6938288888888888,9,20
sceptr_mlm_only,SCEPTR (MLM only),blind,64,64,0.5007953216374269,0.5345029239766081,0.4999999999999999,0,20
sceptr_mlm_only,SCEPTR (MLM only),lopo,64,64,0.4826549707602338,0.4982456140350877,0.5205733333333333,0,20
sceptr_mlm_only,SCEPTR (MLM only),cv,64,64,0.6045497076023392,0.7609356725146199,0.6855533333333333,9,20
sceptr_shuffled_data,SCEPTR (shuffled-data control),blind,64,64,0.5020701754385966,0.6119298245614035,0.5,1,20
sceptr_shuffled_data,SCEPTR (shuffled-data control),lopo,64,64,0.4862105263157894,0.5508771929824562,0.5494555555555555,0,20
sceptr_shuffled_data,SCEPTR (shuffled-data control),cv,64,64,0.5957309941520468,0.7417543859649123,0.6808333333333333,10,20
sceptr_small,SCEPTR (small),blind,32,32,0.5012865497076024,0.5569590643274854,0.4999999999999999,0,20
sceptr_small,SCEPTR (small),lopo,32,32,0.4870409356725146,0.5288888888888889,0.5365266666666667,0,20
sceptr_small,SCEPTR (small),cv,32,32,0.597625730994152,0.7387134502923978,0.6717666666666666,9,20
sceptr_synthetic_data,SCEPTR (synthetic-data control),blind,64,64,0.5039298245614036,0.6133333333333333,0.5000000000000001,1,20
sceptr_synthetic_data,SCEPTR (synthetic-data control),lopo,64,64,0.4827368421052632,0.5047953216374269,0.5418066666666668,0,20
sceptr_synthetic_data,SCEPTR (synthetic-data control),cv,64,64,0.5958479532163744,0.7693567251461989,0.6808622222222221,8,20
tcrbert,TCR-BERT,blind,1536,64,0.5007251461988305,0.5536842105263158,0.5,0,20
tcrbert,TCR-BERT,lopo,1536,64,0.48200000000000004,0.49894736842105264,0.5217133333333333,0,20
tcrbert,TCR-BERT,cv,1536,64,0.5469122807017543,0.6821052631578948,0.6072911111111111,2,20
