score,hla,n_pep,macro,mx,var,n_ge_best,p_max,p_max_bh
kf_PC2,A*02:01,10,0.5021754385964912,0.5897076023391813,0.0010023274169830032,0,0.0004997501249375312,0.007871064467766116
kf2_sum_a,A*02:01,10,0.5029356725146198,0.5873684210526315,0.0010210825895147217,0,0.0004997501249375312,0.007871064467766116
kf_PC1,A*02:01,10,0.5032982456140351,0.5861988304093567,0.001098273793645908,0,0.0004997501249375312,0.007871064467766116
kf2_mean_a,A*02:01,10,0.5025730994152047,0.584093567251462,0.0009624759755138334,0,0.0004997501249375312,0.007871064467766116
kf10_sum_a,B*40:01,10,0.5015438596491228,0.5837426900584795,0.0008487775383878785,0,0.0004997501249375312,0.007871064467766116
len_b,B*40:01,10,0.501774993070673,0.5768696250429997,0.0007361318317788887,0,0.0004997501249375312,0.007871064467766116
kf9_mean_a,A*02:01,10,0.5015906432748538,0.5766081871345029,0.0007144795321637426,0,0.0009995002498750624,0.008995502248875561
kf10_mean_a,B*40:01,10,0.5012397660818714,0.576374269005848,0.000689377791457201,0,0.0009995002498750624,0.008995502248875561
len_a,B*40:01,10,0.5019713992976544,0.575287081339713,0.0007683807547413158,0,0.0009995002498750624,0.008995502248875561
kf6_mean_a,A*02:01,10,0.5009122807017543,0.5749707602339181,0.0007012887384152391,0,0.0004997501249375312,0.007871064467766116
kf10_sum_ab,B*40:01,10,0.5014502923976608,0.5742690058479532,0.0008196195752539234,0,0.0009995002498750624,0.008995502248875561
kf6_sum_a,A*02:01,10,0.5009590643274853,0.5721637426900585,0.0006607429294483783,0,0.0004997501249375312,0.007871064467766116
kf2_mean_b,A*02:01,10,0.5010058479532163,0.5716959064327485,0.0007176969323894524,0,0.0014992503748125937,0.011806596701649175
kf2_sum_b,A*02:01,10,0.5010526315789474,0.5714619883040936,0.000731282787866352,0,0.0014992503748125937,0.011806596701649175
kf7_sum_ab,B*40:01,10,0.5012514619883042,0.5687719298245614,0.0006162499230532467,0,0.004497751124437781,0.02982719166732423
len_diff,B*40:01,10,0.5011941627864103,0.5658290888511601,0.0005152890325963868,0,0.0009995002498750624,0.008995502248875561
kf3_sum_ab,A*02:01,10,0.5014502923976607,0.5656140350877192,0.0006984828152251969,0,0.0009995002498750624,0.008995502248875561
kf8_sum_ab,A*02:01,10,0.5009005847953216,0.5621052631578948,0.0006377895420813247,0,0.0029985007496251873,0.022224182026633742
kf6_mean_a,B*40:01,10,0.5017777777777778,0.5609356725146198,0.0006355399610136445,0,0.004497751124437781,0.02982719166732423
kf6_sum_a,B*40:01,10,0.5016491228070176,0.56,0.0006199034232755386,0,0.005997001499250375,0.035982008995502246
kf6_sum_ab,A*02:01,10,0.500842105263158,0.5595321637426901,0.0004927705618822892,0,0.005997001499250375,0.035982008995502246
len_b,A*02:01,10,0.5008819031423131,0.5534360290971331,0.00037731392702364025,0,0.008995502248875561,0.05151969469810549
