cohort,label,chain,n,n_ep,ari_ceiling,K,resolution,n_clusters,ari,ami,mi_bits,mi_U,mi_p,ari_lo,ari_hi,ami_lo,ami_hi,ari_pct,ari_pct_lo,ari_pct_hi
tcrvdb_true,TCRvdb pos,A,120,2,1.0,15,1.0,5,0.27337915045127104,0.32908775126818407,0.5331985280305455,0.5331985280305455,0.0,0.17421969258484304,0.390239113380665,0.2136527154687335,0.460259146712224,27.337915045127104,17.421969258484303,39.023911338066505
tcrvdb_true,TCRvdb pos,B,120,2,1.0,15,1.0,5,0.08810858255477509,0.14094486104791198,0.22922160148054407,0.22922160148054407,0.0,0.0031848216540883295,0.18229753307731572,0.02895301574561998,0.25536441689869893,8.810858255477509,0.31848216540883295,18.22975330773157
vdjdb_hq,VDJdb HQ,A,2503,46,0.42105263157894735,15,1.0,13,0.014958464958445104,0.04361042235915117,0.19241286581643213,0.034972830717115946,0.0,0.009034829866834716,0.021790491025987017,0.028254358458114345,0.05896829805481115,3.552635427630712,2.145772093373245,5.175241618671916
vdjdb_hq,VDJdb HQ,B,4457,83,0.1978021978021978,15,1.0,10,0.005404387634896263,0.03740237817670563,0.17354435552062597,0.027353404833783273,0.0,0.0034363294855175317,0.00775490148625442,0.02717318166981439,0.047771575233929435,2.7322181931975553,1.7372554621227523,3.9205335291619567
immrep22_true,IMMREP22 pos,A,349,7,1.0,15,1.0,7,0.05369353180282085,0.0873331047524326,0.2336773022873578,0.08422416191874867,0.0,0.019052709622733872,0.0926125215339473,0.03952878322826969,0.13350597759168367,5.369353180282085,1.9052709622733872,9.26125215339473
immrep22_true,IMMREP22 pos,B,357,7,0.9090909090909091,15,1.0,6,0.058635943467506835,0.07723498002409256,0.20080788369746222,0.0720706613433976,0.0,0.025462109529590056,0.0982725064668174,0.030512683272886122,0.12885787318749475,6.4499537814257515,2.8008320482549065,10.809975711349916
vdjdb_lq,VDJdb LQ,A,1442,31,0.5714285714285714,15,1.0,13,0.007124636110144767,0.02607160601223841,0.10470144070229079,0.021312685850328507,0.0,0.0013930030553384095,0.013758384670189906,0.008561463259006346,0.04390990283908161,1.2468113192753343,0.2437755346842217,2.4077173172832333
vdjdb_lq,VDJdb LQ,B,2563,50,0.25,15,1.0,8,0.007233262390181635,0.030373026252247207,0.12570722183585709,0.022409639697743993,0.0,0.004135750808823845,0.010729071110261777,0.01871952625020904,0.042580523561631584,2.893304956072654,1.6543003235295382,4.291628444104711
tcrvdb_false,TCRvdb neg,A,109,2,1.0,15,1.0,5,-0.0004555666716285124,-0.00384980416135726,-0.006340672239156853,-0.006387678916161698,0.536,-0.02909990169060381,0.05630885544818925,-0.032841786734726035,0.05508355241783485,-0.045556667162851235,-2.9099901690603813,5.630885544818924
tcrvdb_false,TCRvdb neg,B,106,2,1.0,15,1.0,5,0.04037324864958145,0.03757547876682289,0.06020924746878019,0.06097879848557233,0.011,-0.008565179078818576,0.11522504997407698,-0.016943191127605964,0.12432148185338925,4.037324864958145,-0.8565179078818576,11.522504997407697
immrep25_pos,IMMREP25 pos,A,991,20,0.6428571428571429,15,1.0,10,0.014685309382038027,0.03777060411412818,0.137680381950817,0.031856996135776305,0.0,0.005135674114612692,0.026674292222571002,0.017339090487548926,0.06139919958007205,2.2843814594281375,0.7988826400508633,4.1493343457332665
immrep25_pos,IMMREP25 pos,B,993,20,0.5384615384615384,15,1.0,8,0.00326495467867354,0.01066102140367509,0.037072639197587104,0.008578051119246971,0.003,-0.0028833689642606248,0.010824168707033323,-0.006475417854416708,0.030113732993439914,0.6063487260393717,-0.5354828076484017,2.0102027598776173
pairseq_mock,pairSEQ mock,A,1000,20,0.5384615384615384,15,1.0,8,-0.0019140648476759581,-0.005362493231155924,-0.018964992877036846,-0.004388086164476345,0.943,-0.006506289113049058,0.0034168103216765137,-0.01954114811183056,0.010988148226974463,-0.35546918599696364,-1.2083108352805394,0.6345504883113526
pairseq_mock,pairSEQ mock,B,1000,20,0.5925925925925926,15,1.0,9,0.000857196521626003,0.0017518950051289902,0.006016594365025163,0.001392108853486598,0.316,-0.00421530294994993,0.0066069144905094804,-0.013013669345026959,0.018186777882245826,0.144651913024388,-0.7113323728040507,1.1149168202734747
mlr_prolif,MLR expanded,B,720,12,0.7777777777777778,15,1.0,8,-0.0028595315352987287,-0.006575519917336114,-0.02106092365270891,-0.005874796081820176,0.957,-0.009669425979058736,0.004969252935865717,-0.022299059285826362,0.012470247008537255,-0.367654054538408,-1.243211911593266,0.6389039488970207
