cohort,label,chain,sn,lo,hi,n_ep,n
tcrvdb_true,TCRvdb pos,A,1.6679005258446051,1.6034296710079055,1.734963631029748,2,120
tcrvdb_true,TCRvdb pos,B,1.4375118743181534,1.1084341932313482,1.8642878408338592,2,120
vdjdb_hq,VDJdb HQ,A,2.666212201090274,2.074018688018428,3.4274944301656567,46,2503
vdjdb_hq,VDJdb HQ,B,2.985850438812901,2.497602267252922,3.5695446628357725,83,4457
immrep22_true,IMMREP22 pos,A,1.6953550070608603,1.3753881741701586,2.0897581162499796,7,349
immrep22_true,IMMREP22 pos,B,1.7276493506848651,1.3725006042004395,2.1746965136387955,7,357
vdjdb_lq,VDJdb LQ,A,1.6891084152679405,1.3956417140581776,2.044283435920605,31,1442
vdjdb_lq,VDJdb LQ,B,1.7527877304846373,1.4228091410689525,2.159295115175674,50,2563
tcrvdb_false,TCRvdb neg,A,1.0217936147670565,0.8672309741982179,1.2039032532757448,2,109
tcrvdb_false,TCRvdb neg,B,1.1251823439406765,0.9792506947151745,1.292861280516196,2,106
immrep25_pos,IMMREP25 pos,A,1.5178757903939941,1.2528961631437585,1.8388969356272467,20,991
immrep25_pos,IMMREP25 pos,B,1.4731078647140563,1.320877375254887,1.6428828457022036,20,993
pairseq_mock,pairSEQ mock,A,0.9935647731485013,0.9188099646346658,1.0744016678510322,20,1000
pairseq_mock,pairSEQ mock,B,1.094083655096041,0.9975569169150965,1.1999506234191077,20,1000
mlr_prolif,MLR expanded,B,1.0564587228684281,0.9739965326015169,1.1459024706625038,12,720
airr_control,AIRR rand,A,0.9595599627712911,0.8784644316322809,1.048141835911079,20,1000
airr_control,AIRR rand,B,1.0821593327550583,1.0094334655052242,1.1601248239602893,20,1000
olga_random,OLGA rand,A,0.93851409260095,0.8527554274645889,1.032897210199416,20,1000
olga_random,OLGA rand,B,0.93798450580567,0.8709477650987542,1.0101810560725732,20,1000
