cohort,label,chain,d,sn,lo,hi,n_ep
tcrvdb_true,TCRvdb true,A,1,1033.6977314476417,985.8455154006235,1083.872658857484,2
tcrvdb_true,TCRvdb true,A,2,894.1335858456077,889.5450894806702,898.7457508240199,2
tcrvdb_true,TCRvdb true,A,3,303.21049085637173,290.45464588200326,316.526532003592,2
tcrvdb_true,TCRvdb true,B,1,495.6944623455057,429.98005334221784,571.4520896727246,2
tcrvdb_true,TCRvdb true,B,2,536.9056443914798,348.2013247025325,827.8764339156277,2
tcrvdb_true,TCRvdb true,B,3,591.0874217641546,212.8929090080681,1641.1271835951793,2
vdjdb_hq,VDJdb HQ,A,1,736.6594835095143,58.20017465924171,9324.150620196344,5
vdjdb_hq,VDJdb HQ,A,2,493.3146325786216,34.87467182498036,6978.110874777167,5
vdjdb_hq,VDJdb HQ,A,3,35.530878254446286,23.929633563014423,52.75648313660401,5
vdjdb_hq,VDJdb HQ,B,1,1755.8909011963663,185.8703681248718,16587.651318540768,5
vdjdb_hq,VDJdb HQ,B,2,155.1319015228706,69.39032213589398,346.81935649428107,5
vdjdb_hq,VDJdb HQ,B,3,25.88484754817261,6.513560236518621,102.86622189130992,5
vdjdb_lq,VDJdb LQ,A,1,21.24756534567625,14.054718794995313,32.12152727520529,96
vdjdb_lq,VDJdb LQ,A,2,12.869654809205597,9.123085533999506,18.15482429610615,96
vdjdb_lq,VDJdb LQ,A,3,8.138896642735263,6.058420784280364,10.933812773949757,96
vdjdb_lq,VDJdb LQ,B,1,29.679171220453743,21.796510229711767,40.412579584977806,151
vdjdb_lq,VDJdb LQ,B,2,20.36897391688927,15.540164827681378,26.698243102793302,151
vdjdb_lq,VDJdb LQ,B,3,8.960051261972207,7.2312953241222555,11.102093749284753,151
tcrvdb_false,TCRvdb false,A,1,9.942089825830953,0.5350106567572033,184.75360977669087,2
tcrvdb_false,TCRvdb false,A,2,13.049129065775357,1.9988863614427126,85.18731862894019,2
tcrvdb_false,TCRvdb false,A,3,4.527990587564252,0.7431705641454528,27.588146988364418,2
tcrvdb_false,TCRvdb false,B,1,85.91274643497323,43.90876054869021,168.0985732178719,2
tcrvdb_false,TCRvdb false,B,2,46.4973728294158,12.663537596280731,170.72683391982613,2
tcrvdb_false,TCRvdb false,B,3,40.95267974823064,15.57229375359124,107.69909719782724,2
immrep25_pos,immrep25 pos,A,1,3.8837369368033023,2.8035463949081096,5.380118774451271,20
immrep25_pos,immrep25 pos,A,2,3.923183185034897,2.820341638213098,5.457270174223349,20
immrep25_pos,immrep25 pos,A,3,2.8844936963941894,2.170853774134528,3.832733454308749,20
immrep25_pos,immrep25 pos,B,1,2.6949237348325124,1.6159477042291595,4.494337234773347,20
immrep25_pos,immrep25 pos,B,2,3.284838339304678,1.8884442966036963,5.713784057476125,20
immrep25_pos,immrep25 pos,B,3,2.2099394224332736,1.318467530190589,3.7041733216734847,20
airr_control,AIRR random,A,1,0.9948575007721976,0.9879482286511663,1.001815093280733,20
airr_control,AIRR random,A,2,0.8740174932254379,0.8483692241414219,0.9004411719875594,20
airr_control,AIRR random,A,3,0.6342200781157303,0.5152929425340962,0.7805950252433503,20
airr_control,AIRR random,B,1,1.0,1.0,1.0,20
airr_control,AIRR random,B,2,0.9751534155296698,0.9601720376541223,0.9903685449354102,20
airr_control,AIRR random,B,3,0.8622085133387752,0.7244191262276084,1.0262063680525848,20
airr_top,AIRR non-random,A,1,1.0567644109928154,0.7990614761811563,1.397578351140297,20
airr_top,AIRR non-random,A,2,1.0905028391759488,0.7958167709140455,1.4943093507377818,20
airr_top,AIRR non-random,A,3,1.1428669599950667,0.922683385418817,1.4155938091976057,20
airr_top,AIRR non-random,B,1,1.0422760944991103,0.89444403284562,1.2145415669085458,20
airr_top,AIRR non-random,B,2,0.8884019947332386,0.7032368010716042,1.1223219590375706,20
airr_top,AIRR non-random,B,3,0.7299603593768322,0.5457254035879232,0.9763923811468794,20
olga_random,OLGA random,A,1,0.9914849648390026,0.8455517896359855,1.1626046417866411,20
olga_random,OLGA random,A,2,0.8425965891158659,0.6245292215646404,1.1368067137210933,20
olga_random,OLGA random,A,3,0.8390670888834197,0.5999643836628802,1.1734589565951514,20
olga_random,OLGA random,B,1,0.969445289667723,0.9540751339787666,0.9850630586498983,20
olga_random,OLGA random,B,2,0.988634066770798,0.8438262545435319,1.1582921397823656,20
olga_random,OLGA random,B,3,1.011954737696519,0.769764638877515,1.3303448085634624,20
mlr_prolif,MLR expanded (beta),A,1,,,,0
mlr_prolif,MLR expanded (beta),A,2,,,,0
mlr_prolif,MLR expanded (beta),A,3,,,,0
mlr_prolif,MLR expanded (beta),B,1,1.882895366705668,1.2602242103759442,2.81322556158801,12
mlr_prolif,MLR expanded (beta),B,2,1.4165590061295914,1.106109540193993,1.814141678494993,12
mlr_prolif,MLR expanded (beta),B,3,1.1550731520375277,1.043623796470568,1.2784242665508598,12
