log10_diff,se,lo,hi,fold_lo,fold_hi,bound,p,df,n_x,n_y,cohort,ref,chain,channel,n_ep,mi,dataset,negatives,n,n_pos,n_neg,pooled_auc,within_auc,n_epitopes_matched
-0.7930928672596174,0.11901940812279561,-0.9949428135323823,-0.5912429209868524,0.1011712664482321,0.2563050003104387,0.9949428135323823,1.9626803925746e-07,30.751122960915456,20.0,83.0,immrep25_pos,vdjdb_hq,B,homology_sn1,,,,,,,,,,
-0.48689169710555746,0.12012828223997138,-0.6880427297172944,-0.2857406644938205,0.20509603773471968,0.517916009068107,0.6880427297172944,0.0001682520320220213,52.38044369078875,20.0,46.0,immrep25_pos,vdjdb_hq,A,homology_sn1,,,,,,,,,,
-1.7973666389458176,0.12601072758620718,-2.0301358827186733,-1.564597395172962,0.009329623484461893,0.027252265092615937,2.0301358827186733,3.3814070788080103e-07,8.434030613305138,20.0,2.0,immrep25_pos,tcrvdb_true,B,homology_sn1,,,,,,,,,,
-1.7410477088164042,0.1839772650708349,-2.371439567375986,-1.1106558502568227,0.004251678653323546,0.07750757509423345,2.371439567375986,0.020408496137371203,1.6298858101567157,20.0,2.0,immrep25_pos,tcrvdb_true,A,homology_sn1,,,,,,,,,,
,,0.0192958783223403,0.0743524682434017,,,,,,,,immrep25_pos,,,interchain_mi,20.0,0.046824173282871,,,,,,,,
,,0.3661885045904734,0.6456596139871096,,,,,,,,vdjdb_hq,,,interchain_mi,38.0,0.5059240592887915,,,,,,,,
,,0.1864622848015775,1.890055876314351,,,,,,,,tcrvdb_true,,,interchain_mi,2.0,1.038259080557964,,,,,,,,
,,,,,,,,,,,,,,iptm_separability,,,TCRvdb,biological,618.0,309.0,309.0,0.7944512520815661,0.7952866382516015,2.0
,,,,,,,,,,,,,,iptm_separability,,,VDJdb binder benchmark,combinatorial,1089.0,523.0,566.0,0.579498544007459,0.5841377032273829,20.0
,,,,,,,,,,,,,,iptm_separability,,,VDJdb free pool,combinatorial,1994.0,997.0,997.0,0.5769042332614696,0.6778962328564051,4.0
