feature,target,n,r_raw,p_raw,rho_raw,r_within,p_within
tcra_best,iptm,867,-0.04556264764362471,0.18013270601846731,-0.04328114917684441,-0.026303268185476715,0.43921907209246835
tcra_best,tcr_pmhc_iptm,867,-0.06079745910754761,0.07357527825083114,-0.05359126073002406,-0.04174219117642278,0.21950137246305357
tcrb_best,iptm,989,0.007777713718039849,0.8070056155260792,0.020426035269315204,0.0113232279219393,0.7220966023556232
tcrb_best,tcr_pmhc_iptm,989,0.0069824479201471,0.8264073387486416,0.019339280638489244,0.010629085912837507,0.7384896317789427
pmhc_best,iptm,650,0.0014423734210108272,0.970722064292797,0.01659841669801982,,
pmhc_best,tcr_pmhc_iptm,650,0.007555033798653854,0.847547695253247,0.02868413186286491,,
tcra_pdb1,iptm,1000,-0.04063000037971257,0.19922714598773444,-0.05030051760460359,-0.012475045332247081,0.6935681189161167
tcra_pdb1,tcr_pmhc_iptm,1000,-0.05453068758155033,0.08479137125460202,-0.06205047037658743,-0.028014654786711005,0.37617451330982576
tcrb_pdb1,iptm,1000,-0.018228873378398548,0.5647676412254039,-0.022022714906517724,-0.017378368493109517,0.5830696999700318
tcrb_pdb1,tcr_pmhc_iptm,1000,-0.02618250180526627,0.40819759118137305,-0.029183205638180793,-0.02567767866440261,0.4172981105265339
pmhc_pdb1,iptm,1000,-0.0013327917763540607,0.9664238575058856,-0.03475103343077557,,
pmhc_pdb1,tcr_pmhc_iptm,1000,-0.004763752540197997,0.8804052381131061,-0.040681424770313404,,
tcra_pdb3,iptm,1000,-0.049856313490584635,0.11511730625775904,-0.058530293948541104,-0.021355464405471338,0.4999608379524394
tcra_pdb3,tcr_pmhc_iptm,1000,-0.06471421461376965,0.04075355858045374,-0.07160244017723236,-0.0379093290828957,0.23102237198473088
tcrb_pdb3,iptm,1000,-0.009772175900237254,0.7575921920540657,-0.01887394234428169,-0.0048870013311650105,0.8773352054675764
tcrb_pdb3,tcr_pmhc_iptm,1000,-0.018664866623338074,0.5554936924516052,-0.027011814777153392,-0.014416425991012626,0.6488640108399398
pmhc_pdb3,iptm,1000,0.055564112286448725,0.07904559979685381,0.04938605272751787,,
pmhc_pdb3,tcr_pmhc_iptm,1000,0.0549356766554468,0.0825006999915586,0.04485102575263145,,
iface_d1,iptm,1000,-0.27340196172961256,1.330005122118455e-18,-0.35743077343077345,-0.2967931145422378,8.75745883360028e-22
iface_d1,tcr_pmhc_iptm,1000,-0.27462166197013416,9.233223521148676e-19,-0.361967281967282,-0.2911807949512959,5.411026329264399e-21
iface_d3,iptm,1000,-0.2704646800695423,3.1788286278515115e-18,-0.3542604422604423,-0.2936406406404601,2.4479421374414916e-21
iface_d3,tcr_pmhc_iptm,1000,-0.2715255340262037,2.323435491207085e-18,-0.3586221226221226,-0.28784174537276974,1.568546395722197e-20
