cohort,label,chain,representation,I_bits,U,p
tcrvdb_true,TCRvdb pos,A,gene,0.4433224787671947,0.4433224787671947,0.0
tcrvdb_true,TCRvdb pos,A,ksg,0.6482992971026692,0.6482992971026692,0.0
tcrvdb_true,TCRvdb pos,A,cluster,0.5331985280305455,0.5331985280305455,0.0
tcrvdb_true,TCRvdb pos,A,held,0.5882253706335712,0.5882253706335712,
tcrvdb_true,TCRvdb pos,B,gene,0.5006091917962312,0.5006091917962312,0.0
tcrvdb_true,TCRvdb pos,B,ksg,0.6499281107198369,0.6499281107198369,0.0
tcrvdb_true,TCRvdb pos,B,cluster,0.229221601480544,0.229221601480544,0.0
tcrvdb_true,TCRvdb pos,B,held,0.3769101975188526,0.3769101975188526,
vdjdb_hq,VDJdb HQ,A,gene,0.570793282046683,0.10374699603783395,0.0
vdjdb_hq,VDJdb HQ,A,ksg,0.696020936819859,0.12650828880742432,0.0
vdjdb_hq,VDJdb HQ,A,cluster,0.1924128658164321,0.03497283071711594,0.0
vdjdb_hq,VDJdb HQ,A,held,0.2324757350195713,0.04225463038647926,
vdjdb_hq,VDJdb HQ,B,gene,0.6119042842750764,0.09644603857665238,0.0
vdjdb_hq,VDJdb HQ,B,ksg,0.6651542155934824,0.10483909131728386,0.0
vdjdb_hq,VDJdb HQ,B,cluster,0.1735443555206259,0.02735340483378326,0.0
vdjdb_hq,VDJdb HQ,B,held,0.1969294512769812,0.03103927516578809,
immrep22_true,IMMREP22 pos,A,gene,0.45136475738337767,0.16268511335142627,0.0
immrep22_true,IMMREP22 pos,A,ksg,0.6491997736673993,0.23399066284897016,0.0
immrep22_true,IMMREP22 pos,A,cluster,0.2336773022873578,0.08422416191874867,0.0
immrep22_true,IMMREP22 pos,A,held,0.3230538543843088,0.11643809592889119,
immrep22_true,IMMREP22 pos,B,gene,0.5894364338771196,0.21155082573062706,0.0
immrep22_true,IMMREP22 pos,B,ksg,0.6460439317198576,0.23186745738572495,0.0
immrep22_true,IMMREP22 pos,B,cluster,0.2008078836974622,0.07207066134339758,0.0
immrep22_true,IMMREP22 pos,B,held,0.3531666302675263,0.12675275561465155,
vdjdb_lq,VDJdb LQ,A,gene,0.3360501101553224,0.06840527102271261,0.0
vdjdb_lq,VDJdb LQ,A,ksg,0.4517350610194727,0.09195372459546637,0.0
vdjdb_lq,VDJdb LQ,A,cluster,0.1047014407022907,0.02131268585032849,0.0
vdjdb_lq,VDJdb LQ,A,held,0.1665103621531971,0.03389430952995352,
vdjdb_lq,VDJdb LQ,B,gene,0.3433877342121052,0.06121522127317395,0.0
vdjdb_lq,VDJdb LQ,B,ksg,0.44147183009208796,0.07870052734110598,0.0
vdjdb_lq,VDJdb LQ,B,cluster,0.125707221835857,0.022409639697743976,0.0
vdjdb_lq,VDJdb LQ,B,held,0.1354486572023225,0.024146230909555193,
tcrvdb_false,TCRvdb neg,A,gene,0.1132669181785333,0.11410662432282384,0.0
tcrvdb_false,TCRvdb neg,A,ksg,0.03781128726356957,0.03809160185806316,0.175
tcrvdb_false,TCRvdb neg,A,cluster,-0.0063406722391568,-0.006387678916161645,0.536
tcrvdb_false,TCRvdb neg,A,held,0.0074523026458269,0.0075075504129723785,
tcrvdb_false,TCRvdb neg,B,gene,0.17438603743716385,0.17661491353287834,0.0
tcrvdb_false,TCRvdb neg,B,ksg,0.25427372202495707,0.25752366467586446,0.0
tcrvdb_false,TCRvdb neg,B,cluster,0.0602092474687801,0.060978798485572236,0.011
tcrvdb_false,TCRvdb neg,B,held,0.0852080265008329,0.0862970938150618,
