hla,n_pools,pool_size,n_false,f,generic_exact,generic_exact_min,generic_exact_max,generic_full_sum,specific_exact,ceiling_analytic,rand_mean,rand_lo,rand_hi
A*02:01,10,50,0,0.0,0.5,0.5,0.5,5.0,1.0,1.0,0.5,0.5,0.5
A*02:01,10,50,2,0.04,0.5,0.5,0.5,5.0,0.9800000000000001,0.98,0.5000023964874203,0.5000003599853011,0.5000080347272933
A*02:01,10,50,4,0.08,0.5,0.5,0.5,5.0,0.9600000000000002,0.96,0.5000051844342901,0.5000006772240517,0.5000139008718959
A*02:01,10,50,6,0.12,0.5,0.5,0.5,5.0,0.9400000000000001,0.9400000000000001,0.5000083825095316,0.5000017898645639,0.5000297546800241
A*02:01,10,50,8,0.16,0.5,0.5,0.5,5.0,0.9199999999999999,0.9199999999999999,0.500010924537974,0.500001509785983,0.5000254210460346
A*02:01,10,50,10,0.2,0.5,0.5,0.5,5.0,0.9000000000000001,0.9000000000000001,0.5000141604100338,0.5000024502784213,0.5000453678590071
A*02:01,10,50,12,0.24,0.5,0.5,0.5,5.0,0.8800000000000001,0.8800000000000001,0.5000189424813812,0.5000023150345451,0.5000457968735221
A*02:01,10,50,14,0.28,0.5,0.5,0.5,5.0,0.86,0.8599999999999999,0.5000220930068601,0.5000051727412632,0.5000579924174631
A*02:01,10,50,16,0.32,0.5,0.5,0.5,5.0,0.8400000000000001,0.84,0.50002840212241,0.5000071152910228,0.5000734834936936
A*02:01,10,50,18,0.36,0.5,0.5,0.5,5.0,0.8200000000000001,0.82,0.5000329710500799,0.5000067397166638,0.500087809300676
A*02:01,10,50,20,0.4,0.5,0.5,0.5,5.0,0.8,0.8,0.5000380785290299,0.5000028683019849,0.5001748135100945
A*02:01,10,50,22,0.44,0.5,0.5,0.5,5.0,0.78,0.78,0.5000435079289247,0.5000062149742234,0.5001080446661498
A*02:01,10,50,24,0.48,0.5,0.5,0.5,5.0,0.76,0.76,0.5000545569271111,0.5000084949177624,0.5001475683087684
A*02:01,10,50,26,0.52,0.5,0.5,0.5,5.0,0.74,0.74,0.5000635264840675,0.500012177719617,0.5001909473141485
A*02:01,10,50,28,0.56,0.5,0.5,0.5,5.0,0.72,0.72,0.50007062901593,0.5000130768381743,0.5001908068772319
A*02:01,10,50,30,0.6,0.5,0.5,0.5,5.0,0.7000000000000001,0.7000000000000001,0.5000873363132396,0.5000190581473076,0.5002288258835634
A*02:01,10,50,32,0.64,0.5,0.5,0.5,5.0,0.6799999999999999,0.6799999999999999,0.5001117306368329,0.5000204290921964,0.5003338201009986
A*02:01,10,50,34,0.68,0.5,0.5,0.5,5.0,0.66,0.6599999999999999,0.5001240551994697,0.5000262603828226,0.5004239308269727
A*02:01,10,50,36,0.72,0.5,0.5,0.5,5.0,0.6399999999999999,0.64,0.5001584625719678,0.5000252388504884,0.5004586772694838
A*02:01,10,50,38,0.76,0.5,0.5,0.5,5.0,0.62,0.62,0.500183230517398,0.5000298866204276,0.5004874896656373
A*02:01,10,50,40,0.8,0.5,0.5,0.5,5.0,0.5999999999999999,0.6,0.5002354911792939,0.5000489508387551,0.500654844824026
A*02:01,10,50,42,0.84,0.5,0.5,0.5,4.999999999999999,0.58,0.58,0.500300370132838,0.5000553929310145,0.5009398019324636
A*02:01,10,50,44,0.88,0.5,0.5,0.5,5.000000000000001,0.5600000000000002,0.56,0.5004421988764257,0.5000942564362146,0.5014998350160729
A*02:01,10,50,46,0.92,0.5,0.5,0.5,5.000000000000001,0.54,0.54,0.50039119391574,0.5000633807258126,0.5010647296806324
A*02:01,10,50,48,0.96,0.5,0.5,0.5,5.0,0.5199999999999999,0.52,0.5001924394409795,0.5000269734760818,0.5005635228100782
B*40:01,10,50,0,0.0,0.5,0.5,0.5,5.0,1.0,1.0,0.5,0.5,0.5
B*40:01,10,50,2,0.04,0.5,0.5,0.5,5.0,0.9800000000000001,0.98,0.5000024174014188,0.5000003939789124,0.5000077877483563
B*40:01,10,50,4,0.08,0.5,0.5,0.5,5.0,0.9600000000000002,0.96,0.5000053630727197,0.500001010138045,0.5000161938870782
B*40:01,10,50,6,0.12,0.5,0.5,0.5,5.0,0.9400000000000001,0.9400000000000001,0.5000077213526791,0.500001323769727,0.5000300764524617
B*40:01,10,50,8,0.16,0.5,0.5,0.5,5.0,0.9199999999999999,0.9199999999999999,0.500010778103003,0.5000018447109001,0.5000284224382244
B*40:01,10,50,10,0.2,0.5,0.5,0.5,5.0,0.9000000000000001,0.9000000000000001,0.5000152030891901,0.5000016716730863,0.500053592331815
B*40:01,10,50,12,0.24,0.5,0.5,0.5,5.0,0.8800000000000001,0.8800000000000001,0.5000178874897816,0.5000021291492056,0.5000500968802295
B*40:01,10,50,14,0.28,0.5,0.5,0.5,5.0,0.86,0.8599999999999999,0.500022897596407,0.5000031204080786,0.5000635793582535
B*40:01,10,50,16,0.32,0.5,0.5,0.5,5.0,0.8400000000000001,0.84,0.5000284107140506,0.5000050303491091,0.5000765728877308
B*40:01,10,50,18,0.36,0.5,0.5,0.5,5.0,0.8200000000000001,0.82,0.5000308106277963,0.5000058681601536,0.5000800901649194
B*40:01,10,50,20,0.4,0.5,0.5,0.5,5.0,0.8,0.8,0.5000391607358244,0.5000052119467842,0.5001387608070604
B*40:01,10,50,22,0.44,0.5,0.5,0.5,5.0,0.78,0.78,0.5000433575896368,0.5000057291953077,0.5001030345236497
B*40:01,10,50,24,0.48,0.5,0.5,0.5,5.0,0.76,0.76,0.5000513400941918,0.5000112953136872,0.5001310146902719
B*40:01,10,50,26,0.52,0.5,0.5,0.5,5.0,0.74,0.74,0.5000619058114267,0.5000135855397503,0.5001928079197295
B*40:01,10,50,28,0.56,0.5,0.5,0.5,5.0,0.72,0.72,0.5000742222044839,0.5000116697090299,0.5001885452917334
B*40:01,10,50,30,0.6,0.5,0.5,0.5,5.0,0.7000000000000001,0.7000000000000001,0.5000964768012568,0.5000128827050087,0.5002851629588869
B*40:01,10,50,32,0.64,0.5,0.5,0.5,5.0,0.6799999999999999,0.6799999999999999,0.5001135317089226,0.5000275646295156,0.5002815213153283
B*40:01,10,50,34,0.68,0.5,0.5,0.5,5.0,0.66,0.6599999999999999,0.5001229396937913,0.5000162268706656,0.5004239300501331
B*40:01,10,50,36,0.72,0.5,0.5,0.5,5.0,0.6399999999999999,0.64,0.5001527936059443,0.5000128881892174,0.5003855627749806
B*40:01,10,50,38,0.76,0.5,0.5,0.5,5.0,0.62,0.62,0.500186747209634,0.5000345800696351,0.500567860707177
B*40:01,10,50,40,0.8,0.5,0.5,0.5,5.0,0.5999999999999999,0.6,0.5002248687044399,0.5000300735955949,0.5007238643771048
B*40:01,10,50,42,0.84,0.5,0.5,0.5,4.999999999999999,0.58,0.58,0.5003070495446241,0.5000728486148389,0.5007698034182438
B*40:01,10,50,44,0.88,0.5,0.5,0.5,5.000000000000001,0.5600000000000002,0.56,0.500422616854413,0.5000541662905118,0.5011089138910478
B*40:01,10,50,46,0.92,0.5,0.5,0.5,5.000000000000001,0.54,0.54,0.5003948306410547,0.5000860391216613,0.5011116860576569
B*40:01,10,50,48,0.96,0.5,0.5,0.5,5.0,0.5199999999999999,0.52,0.5002003597354079,0.5000219208036545,0.5006121222530309
