cohort,chain,theta,n,n_sub,n_epitopes,n_clusters,q_full,h,p,q80,q80_sd,ci_lo,ci_hi,q_null,p_perm,ratio_vs_immrep25,frac_gt,p_two
tcrvdb_true,A,18,222,178,2,109,0.5475133140606429,1.0,0.37694893823178355,0.5177005481217233,0.025197757270199954,0.4744455221860131,0.5618140399116578,0.3721558988215905,0.000999000999000999,16.18240259138613,1.0,0.009900990099009901
vdjdb_hq,A,18,33502,26802,46,17358,0.24779830830044372,0.8197927614360323,0.1459585612757074,0.22372033586986492,0.0020814406018090704,0.2201716781021431,0.2275421791341119,0.16347837201612395,0.000999000999000999,6.99310162228195,1.0,0.009900990099009901
immrep22_true,A,18,417,334,7,341,0.15457014393696325,0.9885098719167065,0.08383996638039048,0.1372243705120192,0.012033902251327494,0.11248057524155627,0.16015582965642425,0.04874471393971728,0.000999000999000999,4.28939087862992,1.0,0.009900990099009901
vdjdb_lq,A,18,4211,3369,31,3320,0.11754286168606536,0.9279629783596395,0.06274533175498487,0.10669989454638407,0.0035059731978762387,0.09922888142120911,0.11243625047380733,0.0554067581860178,0.000999000999000999,3.3352498008212557,1.0,0.009900990099009901
immrep25_pos,A,18,991,793,20,919,0.036596549855327516,0.9861964994241585,0.018644206820970566,0.031991575119833845,0.003428182529412671,0.025615698194962483,0.038195670133701655,0.003503649152111649,0.000999000999000999,1.0,,
pairseq_mock,A,18,1000,800,20,872,0.020713510550796066,0.9174489054691968,0.0104750038787087,0.016875415091119693,0.0029053223615347094,0.011505285031599309,0.021948175605084316,0.020372200214041108,0.4255744255744256,0.52749559932288,0.0,0.009900990099009901
airr_control,A,18,1000,800,20,998,0.0,0.99907448714736,0.0,0.0,0.0,0.0,0.0,6.801347056544266e-05,1.0,0.0,0.0,0.009900990099009901
olga_random,A,18,1000,800,20,978,0.0007084817090825285,0.9901074505259021,0.0003543676402710805,0.0006193958268179572,0.0004468051805573514,0.0,0.0009387849225353009,0.0008054089411849004,0.6823176823176823,0.01936121696096013,0.0,0.009900990099009901
tcrvdb_true,B,18,261,209,2,162,0.32581139763186173,1.0,0.19460853882949736,0.29121130878347923,0.02164945612706495,0.2433454730310798,0.3269797836586938,0.2287634581609347,0.000999000999000999,10.157645509295408,1.0,0.009900990099009901
vdjdb_hq,B,18,52939,42351,83,36428,0.2250262802699306,0.9194487915579577,0.1282011403871619,0.2062261302898569,0.0016519041703832484,0.20303173520312767,0.2092002803405395,0.132532255355519,0.000999000999000999,7.193305558733074,1.0,0.009900990099009901
immrep22_true,B,18,415,332,7,344,0.18414791990331605,0.9950752903940473,0.10146222308636044,0.16232949680153336,0.016545425424824175,0.12797123824473697,0.1952554868394176,0.06850599881228144,0.000999000999000999,5.662161579852156,1.0,0.009900990099009901
vdjdb_lq,B,18,11399,9119,50,10605,0.021790268030818755,0.9797977306054798,0.011017647821886412,0.01814809804064674,0.0006594576421397482,0.016791192815748198,0.019430434629820928,0.006099396075099561,0.000999000999000999,0.6330178156023799,0.0,0.009900990099009901
immrep25_pos,B,18,993,794,20,957,0.032723690972011915,0.9992438366325466,0.01663421794792852,0.02866917422122947,0.004129380547570767,0.020966207110728052,0.036004704981071875,0.0027732171162798956,0.000999000999000999,1.0,,
pairseq_mock,B,18,1000,800,20,860,0.015289242336130073,0.9121944454302349,0.007709228148505165,0.01028275694612738,0.002523236534016177,0.005616183856136439,0.015158755400219182,0.015868608380557297,0.5784215784215784,0.35866944986901705,0.0,0.009900990099009901
airr_control,B,18,1000,800,20,999,0.0,0.9995372435736797,0.0,0.0,0.0,0.0,0.0,4.6051474083038645e-05,1.0,0.0,0.0,0.009900990099009901
olga_random,B,18,1000,800,20,998,0.0,0.99907448714736,0.0,0.0,0.0,0.0,0.0,7.226287054900682e-05,1.0,0.0,0.0,0.009900990099009901
