cohort,chain,n_used,n_full,n_epitopes,ce_train,ce_test,ce_chance,ce_test_sd,gain_train,gain_test,gain_test_sd,gap,ratio_vs_immrep25
tcrvdb_true,A,222,222,2,0.004810776747763157,0.4889560639858246,0.6810343889105013,0.1661781536954643,0.9929360736754288,0.28203909824870654,0.24400846183598923,0.48414528723806144,-0.1806350737472524
vdjdb_hq,A,30000,33502,46,0.9740642309188843,2.5460815906524656,2.1925166009729096,0.054891154748614786,0.555732334940291,-0.16125989172563848,0.025035684894817823,1.5720173597335814,0.10328068914987121
immrep22_true,A,417,417,7,0.019667776860296728,3.797926425933838,1.8563921339603904,0.41939398427360597,0.9894053758898784,-1.0458643173796567,0.22591885442806695,3.7782586490735413,0.6698354209489835
vdjdb_lq,A,4211,4211,31,0.19088902771472932,6.301844787597656,2.694261246374342,0.15652174219012838,0.9291497704717357,-1.33898802355489,0.05809449339805453,6.110955759882927,0.8575697549856797
immrep25_pos,A,991,991,20,0.015582024492323399,7.67319507598877,2.9957327257947552,0.2431099564698168,0.99479859322624,-1.5613750552306378,0.0811520848894558,7.657613051496447,1.0
pairseq_mock,A,1000,1000,20,0.01785738579928875,9.092903327941894,2.9957322735539913,0.09292956149221684,0.994039058177217,-2.035285698996898,0.031020649713123304,9.075045942142605,1.303521336644037
tcrvdb_true,B,261,261,2,0.005392858665436507,0.3470040410757065,0.678679862269246,0.17343685290088717,0.9920538990984573,0.48870732672771866,0.25555031546240464,0.34161118241027,-0.32007623168390636
vdjdb_hq,B,30000,52939,83,1.4302517414093017,3.2099769592285154,2.7756972717939443,0.021795793001739446,0.4847234401448526,-0.15645787163017766,0.007852366763199914,1.7797252178192138,0.10247124041292026
immrep22_true,B,415,415,7,0.009369092248380183,3.366645622253418,1.88941683172644,0.5323209200847016,0.9950412782975903,-0.7818437761968975,0.2817382121012955,3.357276530005038,0.5120643705635377
vdjdb_lq,B,11399,11399,50,1.0930548667907716,4.785785865783692,2.9028979328458604,0.08688269374945587,0.6234607994917707,-0.6486235398197204,0.0299296412617168,3.69273099899292,0.42481249421218686
immrep25_pos,B,993,993,20,0.0170515401288867,7.56978406906128,2.995743341079244,0.4168276689477763,0.9943080770989067,-1.5268466644856815,0.13913998012847464,7.552732528932393,1.0
pairseq_mock,B,1000,1000,20,0.021613535657525062,8.64794635772705,2.9957322735539913,0.3364560398809849,0.9927852245514971,-1.8867554133826343,0.1123117852857491,8.626332822069525,1.2357202967844765
