cohort,chain,n,med_log_pgen,med_log_pgen1mm,q25_1mm,q75_1mm
immrep25_pos,A,990,-7.011812563239565,-5.3570353974461575,-6.185522301499852,-4.7570285406148605
immrep22_true,A,578,-6.824632882498721,-5.263496355278061,-6.156340280262731,-4.577836600306437
airr_control,A,999,-8.2696044093967,-6.277491074311118,-7.123588271508309,-5.701331199808989
airr_top,A,984,-6.835011503036169,-5.162093121569814,-5.9365650353065815,-4.493267434571491
olga_random,A,999,-6.968393725437772,-5.321993397627216,-6.4079927692221865,-4.609757552585756
immrep25_pos,B,992,-8.847548153814255,-6.8371397779497585,-8.084872734716967,-5.934842204733048
immrep22_true,B,574,-8.665195674680016,-6.708742344073915,-7.945400982729359,-5.815639631941569
airr_control,B,1000,-9.992550796214248,-7.873481994826285,-8.97251338187515,-6.982990112925041
airr_top,B,1000,-8.779320116943829,-6.827318143321932,-8.082352976587064,-5.947976943819038
olga_random,B,1000,-9.878142373486368,-7.810306093388585,-9.649821129360719,-6.441839440903598
