reference,d,rule,frac_public,n_novel,m1_B,rate_upper97_B,sn_B,m1_A,sn_A
vdjdb,0,either,0.148,852,30.0,0.013900313338139455,1.9537533295502445,26.0,2.156283980824991
vdjdb,0,alpha,0.119,881,34.0,0.014489659071425156,2.1571774082451505,28.0,2.38011350071148
vdjdb,0,beta,0.031,969,35.0,0.012449239736338382,2.1933398981755237,39.0,2.6655655859404495
vdjdb,0,both,0.002,998,40.0,0.013185341797139693,2.389456350534312,41.0,2.9455400441977986
vdjdb,1,either,0.684,316,0.0,0.008783046319318895,1.0,4.0,1.2765180070092417
vdjdb,1,alpha,0.557,443,12.0,0.024205063566024185,1.5390963860255953,6.0,1.3501211826603863
vdjdb,1,beta,0.282,718,3.0,0.004225191840839674,1.1791476456813665,15.0,1.6740864056937848
vdjdb,1,both,0.155,845,15.0,0.008551752115964692,1.7560152401528777,18.0,1.8320436255636774
vdjdb,2,either,0.947,53,0.0,,,0.0,
vdjdb,2,alpha,0.854,146,0.0,0.08197509898030969,1.0,0.0,1.0
vdjdb,2,beta,0.613,387,1.0,0.008598215109473608,1.0595260647382752,3.0,1.1212711354476463
vdjdb,2,both,0.52,480,2.0,0.007802038518060431,1.1161231740339044,3.0,1.1154782315185705
vdjdb+tcrvdb,0,either,0.148,852,30.0,0.013900313338139455,1.9537533295502445,26.0,2.156283980824991
vdjdb+tcrvdb,0,alpha,0.119,881,34.0,0.014489659071425156,2.1571774082451505,28.0,2.38011350071148
vdjdb+tcrvdb,0,beta,0.031,969,35.0,0.012449239736338382,2.1933398981755237,39.0,2.6655655859404495
vdjdb+tcrvdb,0,both,0.002,998,40.0,0.013185341797139693,2.389456350534312,41.0,2.9455400441977986
vdjdb+tcrvdb,1,either,0.684,316,0.0,0.008783046319318895,1.0,4.0,1.2765180070092417
vdjdb+tcrvdb,1,alpha,0.557,443,12.0,0.024205063566024185,1.5390963860255953,6.0,1.3501211826603863
vdjdb+tcrvdb,1,beta,0.282,718,3.0,0.004225191840839674,1.1791476456813665,15.0,1.6740864056937848
vdjdb+tcrvdb,1,both,0.155,845,15.0,0.008551752115964692,1.7560152401528777,18.0,1.8320436255636774
vdjdb+tcrvdb,2,either,0.947,53,0.0,,,0.0,
vdjdb+tcrvdb,2,alpha,0.854,146,0.0,0.08197509898030969,1.0,0.0,1.0
vdjdb+tcrvdb,2,beta,0.613,387,1.0,0.008598215109473608,1.0595260647382752,3.0,1.1212711354476463
vdjdb+tcrvdb,2,both,0.52,480,2.0,0.007802038518060431,1.1161231740339044,3.0,1.1154782315185705
