cohort,chain,min_n,pseudo,d,n_ep,n_finite,n_pinned,sn,lo,hi
immrep25_pos,A,10,0.0,1,20,16,0,22.337939795607543,13.387572177265538,37.27214671227315
immrep25_pos,A,10,0.0,2,20,20,0,5.193349832306898,3.382519665723318,7.973606998957278
immrep25_pos,A,10,0.0,3,20,20,0,2.979748729191515,2.149668481605804,4.130358967018907
immrep25_pos,A,10,0.1,1,20,20,0,5.383242572349574,2.7755817078071243,10.440802557260056
immrep25_pos,A,10,0.1,2,20,20,0,4.6506578544394985,3.1259184152167383,6.919124431966391
immrep25_pos,A,10,0.1,3,20,20,0,2.9035547232107186,2.1091946777840773,3.9970848207982885
immrep25_pos,A,10,0.5,1,20,20,0,2.9832555922332804,2.0239750611912095,4.397195449312089
immrep25_pos,A,10,0.5,2,20,20,0,3.495444998762882,2.499541673915777,4.888150442491137
immrep25_pos,A,10,0.5,3,20,20,0,2.6547682972747477,1.9737047973488853,3.5708454079261416
immrep25_pos,A,10,1.0,1,20,20,0,2.2196704466754493,1.656680910371061,2.9739806024208124
immrep25_pos,A,10,1.0,2,20,20,0,2.831219655557072,2.1079692360033997,3.8026194126107145
immrep25_pos,A,10,1.0,3,20,20,0,2.4289190638258096,1.8465668437718747,3.1949278405571166
immrep25_pos,A,20,0.0,1,20,16,0,22.337939795607543,13.387572177265538,37.27214671227315
immrep25_pos,A,20,0.0,2,20,20,0,5.193349832306898,3.382519665723318,7.973606998957278
immrep25_pos,A,20,0.0,3,20,20,0,2.979748729191515,2.149668481605804,4.130358967018907
immrep25_pos,A,20,0.1,1,20,20,0,5.383242572349574,2.7755817078071243,10.440802557260056
immrep25_pos,A,20,0.1,2,20,20,0,4.6506578544394985,3.1259184152167383,6.919124431966391
immrep25_pos,A,20,0.1,3,20,20,0,2.9035547232107186,2.1091946777840773,3.9970848207982885
immrep25_pos,A,20,0.5,1,20,20,0,2.9832555922332804,2.0239750611912095,4.397195449312089
immrep25_pos,A,20,0.5,2,20,20,0,3.495444998762882,2.499541673915777,4.888150442491137
immrep25_pos,A,20,0.5,3,20,20,0,2.6547682972747477,1.9737047973488853,3.5708454079261416
immrep25_pos,A,20,1.0,1,20,20,0,2.2196704466754493,1.656680910371061,2.9739806024208124
immrep25_pos,A,20,1.0,2,20,20,0,2.831219655557072,2.1079692360033997,3.8026194126107145
immrep25_pos,A,20,1.0,3,20,20,0,2.4289190638258096,1.8465668437718747,3.1949278405571166
immrep25_pos,A,30,0.0,1,20,16,0,22.337939795607543,13.387572177265538,37.27214671227315
immrep25_pos,A,30,0.0,2,20,20,0,5.193349832306898,3.382519665723318,7.973606998957278
immrep25_pos,A,30,0.0,3,20,20,0,2.979748729191515,2.149668481605804,4.130358967018907
immrep25_pos,A,30,0.1,1,20,20,0,5.383242572349574,2.7755817078071243,10.440802557260056
immrep25_pos,A,30,0.1,2,20,20,0,4.6506578544394985,3.1259184152167383,6.919124431966391
immrep25_pos,A,30,0.1,3,20,20,0,2.9035547232107186,2.1091946777840773,3.9970848207982885
immrep25_pos,A,30,0.5,1,20,20,0,2.9832555922332804,2.0239750611912095,4.397195449312089
immrep25_pos,A,30,0.5,2,20,20,0,3.495444998762882,2.499541673915777,4.888150442491137
immrep25_pos,A,30,0.5,3,20,20,0,2.6547682972747477,1.9737047973488853,3.5708454079261416
immrep25_pos,A,30,1.0,1,20,20,0,2.2196704466754493,1.656680910371061,2.9739806024208124
immrep25_pos,A,30,1.0,2,20,20,0,2.831219655557072,2.1079692360033997,3.8026194126107145
immrep25_pos,A,30,1.0,3,20,20,0,2.4289190638258096,1.8465668437718747,3.1949278405571166
immrep25_pos,A,50,0.0,1,12,11,0,17.61633472687921,9.398933955615147,33.018132766434505
immrep25_pos,A,50,0.0,2,12,12,0,5.125456052182919,2.7982886019400146,9.387987974023007
immrep25_pos,A,50,0.0,3,12,12,0,3.095115249704001,2.060442267765662,4.64936026542423
immrep25_pos,A,50,0.1,1,12,12,0,7.170129938840385,3.591564008590829,14.314310761797207
immrep25_pos,A,50,0.1,2,12,12,0,4.5976547550620195,2.6512589679546483,7.972977933216361
immrep25_pos,A,50,0.1,3,12,12,0,3.0155862976508674,2.0262472845668107,4.487981692976734
immrep25_pos,A,50,0.5,1,12,12,0,3.5252318138533605,2.242650607426307,5.541326544693258
immrep25_pos,A,50,0.5,2,12,12,0,3.498284101313663,2.233082159197275,5.480314104476626
immrep25_pos,A,50,0.5,3,12,12,0,2.7548947932532144,1.909288995223465,3.9750112952415533
immrep25_pos,A,50,1.0,1,12,12,0,2.505008242470568,1.7457854112091118,3.5944087140122463
immrep25_pos,A,50,1.0,2,12,12,0,2.856723667309274,1.9403033152691034,4.20597648168895
immrep25_pos,A,50,1.0,3,12,12,0,2.5169200900593776,1.796279318185404,3.5266713119783564
immrep25_pos,B,10,0.0,1,20,6,0,42.220438003666835,25.431097507033513,70.09392279387346
immrep25_pos,B,10,0.0,2,20,15,0,10.10870784682042,6.347967508774894,16.097431845880664
immrep25_pos,B,10,0.0,3,20,17,0,3.4948805388434776,2.378079818642804,5.136156442283611
immrep25_pos,B,10,0.1,1,20,20,4,4.044946090667014,1.8740989142576303,8.730376370173358
immrep25_pos,B,10,0.1,2,20,20,0,3.5150437447704292,1.6664684671663517,7.4142012111750075
immrep25_pos,B,10,0.1,3,20,20,0,1.8883253367011272,0.9296961059275171,3.8354173525014503
immrep25_pos,B,10,0.5,1,20,20,4,2.3771371861707125,1.4797470620871689,3.818748045970263
immrep25_pos,B,10,0.5,2,20,20,0,3.0470094980510583,1.8088381500708373,5.132723942631227
immrep25_pos,B,10,0.5,3,20,20,0,2.137866888911622,1.2911886386399987,3.5397421398616955
immrep25_pos,B,10,1.0,1,20,20,4,1.888219890927546,1.3111072317010137,2.719361368992499
immrep25_pos,B,10,1.0,2,20,20,0,2.5437421680059016,1.6453822206566786,3.932596411980745
immrep25_pos,B,10,1.0,3,20,20,0,2.1152999842026214,1.3762202705196465,3.2512920489669055
immrep25_pos,B,20,0.0,1,20,6,0,42.220438003666835,25.431097507033513,70.09392279387346
immrep25_pos,B,20,0.0,2,20,15,0,10.10870784682042,6.347967508774894,16.097431845880664
immrep25_pos,B,20,0.0,3,20,17,0,3.4948805388434776,2.378079818642804,5.136156442283611
immrep25_pos,B,20,0.1,1,20,20,4,4.044946090667014,1.8740989142576303,8.730376370173358
immrep25_pos,B,20,0.1,2,20,20,0,3.5150437447704292,1.6664684671663517,7.4142012111750075
immrep25_pos,B,20,0.1,3,20,20,0,1.8883253367011272,0.9296961059275171,3.8354173525014503
immrep25_pos,B,20,0.5,1,20,20,4,2.3771371861707125,1.4797470620871689,3.818748045970263
immrep25_pos,B,20,0.5,2,20,20,0,3.0470094980510583,1.8088381500708373,5.132723942631227
immrep25_pos,B,20,0.5,3,20,20,0,2.137866888911622,1.2911886386399987,3.5397421398616955
immrep25_pos,B,20,1.0,1,20,20,4,1.888219890927546,1.3111072317010137,2.719361368992499
immrep25_pos,B,20,1.0,2,20,20,0,2.5437421680059016,1.6453822206566786,3.932596411980745
